sample	chr1:142500000-142600000	chr2:89800000-89900000	chr4:49100000-49200000	chr7:116200000-116300000	chr7:116400000-116500000	chr7:116500000-116600000	chr10:39100000-39200000	chr15:20400000-20500000	chr15:20500000-20600000	chr15:21900000-22000000	chr15:22300000-22400000	chr15:22400000-22500000	chr15:22500000-22600000	chr17:22200000-22300000	chr19:27800000-27900000	chr21:10700000-10800000	chr21:10800000-10900000
VY_S4	76.6356	43.8343	46.8439	39.2363	38.2795	35.6577	20.958	63.8564	58.0114	36.1732	32.5436	35.3883	32.5715	98.7339	86.7837	205.974	83.3167
VY_S7	57.2219	47.6535	44.1252	39.1375	38.7209	35.9806	19.9794	98.9663	98.9592	54.3721	68.2591	71.6946	66.2569	79.6392	87.6601	214.81	77.1466
VY_S8	45.7958	41.0448	44.5626	39.8251	39.5937	35.7121	21.1402	105.687	114.461	57.9237	93.045	96.1202	87.9189	78.509	100.599	158.384	46.5348
VZ_S2	54.4993	45.494	45.8589	39.0886	39.1348	35.2894	19.5097	95.2863	89.1073	41.3845	43.6552	54.4553	49.7356	94.6133	80.3411	163.758	58.4369
VZ_S3	57.2517	48.0435	40.745	39.8806	38.8236	36.0347	19.951	89.5244	83.11	55.2777	50.2463	53.8832	49.2223	97.2789	83.087	162.787	45.8356
VZ_S6	58.0023	47.2559	41.1528	39.2762	38.5767	36.6687	21.3189	102.217	97.6304	63.3576	47.214	51.7253	48.7806	82.0355	80.7977	216.035	99.1676
VZ_S7	70.2628	52.4496	55.1948	37.4973	38.0831	32.0879	24.35	108.447	103.065	51.7739	64.374	90.979	93.2669	87.2882	60.7512	146.785	78.1456
VZ_S8	65.0941	49.959	62.8765	37.6418	38.2483	35.463	22.3944	126.711	123.239	80.8255	77.6257	85.5363	82.5265	91.1661	76.5271	188.895	84.0294
V12_S14	52.5781	42.1968	49.2775	38.397	38.325	32.7463	17.8414	119.145	116.475	58.4358	73.9337	89.2506	87.2254	87.0444	75.0978	150.207	57.3
V12_S3	49.7254	45.734	37.8732	38.1194	38.6265	33.0844	18.8251	77.8842	65.9268	34.9233	40.9936	52.425	51.3792	95.4994	80.8236	202.603	72.077
V13_S1	57.6447	41.4123	40.9585	40.0698	39.2648	34.7963	16.0359	52.7978	43.3109	26.8464	29.4267	37.8116	34.5872	97.3654	73.7015	141.849	54.4915
V13_S10	64.0698	42.0283	36.0196	38.6191	38.0918	33.5951	17.652	76.9056	69.0785	46.037	58.7503	73.6606	69.9056	96.4635	74.9144	170.693	58.1267
V13_S2	55.0448	47.8163	42.2209	39.2604	38.1482	34.6144	19.8029	95.2528	89.1619	41.7109	45.7438	55.0629	52.0898	64.9264	71.6792	178.163	77.8588
V13_S8	70.3728	45.0048	42.5078	38.6004	37.138	33.8185	18.3156	116.271	113.857	71.3512	60.6489	70.2357	63.2414	109.405	84.1391	180.684	58.0648
V13_S9	63.9483	43.4928	48.7988	38.8172	38.0464	34.8789	18.4418	132.505	129.269	71.9452	73.0678	87.9879	85.2837	84.6733	71.8382	155.712	59.3796
V17_S16	70.9076	49.2099	52.5098	39.1831	39.0993	35.6649	21.4475	104.856	100.875	64.5277	62.4266	70.8021	67.9534	76.1958	71.8953	162.266	79.5983
V17_S18	69.6588	42.483	40.3544	39.1135	38.6266	34.2337	19.8896	50.0515	40.7702	25.7798	31.2111	35.2054	32.8312	109.436	78.8517	160.278	59.169
V17_S19	69.2921	43.0039	44.2529	37.9353	37.749	34.8725	29.2529	66.0274	57.1039	37.0647	33.7255	35.1765	31.7647	50.3176	73.349	190.18	95.2235
V32_S10	61.3793	63.1437	61.1007	38.3046	39.3748	35.2586	29.8353	101.023	84.4145	52.9169	45.1557	54.1845	53.2327	75.836	62.9022	129.229	76.7113
V32_S11	60.4428	71.8656	64.8559	38.0985	38.7448	35.3976	37.1891	80.9185	75.6142	44.5979	44.8156	52.5805	52.0317	77.4806	58.3837	162.05	117.951
V32_S12	56.4354	66.1343	69.7269	38.487	38.5001	36.2166	33.2186	111.55	116.035	69.0948	78.9153	86.7851	84.0191	85.1748	68.4963	150.456	83.372
V32_S7	53.7335	53.3835	55.5925	37.4341	39.2559	35.1463	25.8608	95.4534	90.4768	50.1246	51.6822	72.3323	72.3741	69.9982	55.0153	137.403	88.4209
V32_S8	69.4498	78.4874	71.7145	37.3508	38.396	33.123	40.9178	85.477	81.9503	33.9962	39.7663	52.764	56.5902	54.5252	51.3321	132.862	98.7211
V32_S9	60.437	57.4224	55.8629	39.0741	38.8316	35.1098	25.6875	74.1817	56.7945	34.9104	29.1192	36.2227	34.9285	95.9027	70.3965	167.589	88.6926
V34_S1	77.2283	74.7388	67.1863	38.294	39.2147	34.876	37.4154	101.163	91.0996	50.8691	46.37	53.3913	53.7933	68.9389	58.2643	152.346	113.212
V34_S2	44.5534	59.5268	59.1332	38.0361	37.6381	34.1338	27.8478	117.842	122.035	68.8724	78.0512	84.8842	81.2264	87.4524	79.77	176.217	112.458
V34_S3	62.8492	70.0469	60.559	38.7583	39.6461	35.8781	31.3382	71.01	71.9639	41.7377	60.4929	70.1903	68.1758	71.9474	63.1635	132.997	81.3029
V34_S4	58.2589	59.5476	62.2141	37.8508	38.1701	34.6597	27.2351	79.2143	73.3955	45.134	44.509	53.2087	51.7375	92.4281	59.1918	153.506	92.0381
V34_S5	67.7361	62.5547	58.0382	38.1151	38.3974	34.4501	29.9896	54.0979	40.9053	23.6674	29.7773	35.1523	34.1352	87.7875	55.654	153.718	97.5297
V34_S6	81.2604	49.8069	53.8274	38.5263	38.7953	34.5014	37.2604	139.957	126.332	68.7822	62.9886	70.3503	67.7259	90.1813	63.4011	157.528	90.3974
V34_S7	51.2811	63.5292	63.8067	37.4734	38.2211	32.8529	38.9563	131.47	128.347	51.424	58.6788	71.3722	73.9528	62.4606	53.9631	130.024	96.5043
V34_S8	50.3359	54.4048	55.7537	37.024	37.9691	33.3123	26.8805	110.216	101.738	57.5751	55.3965	69.8823	70.6154	78.5318	59.7817	131.151	73.341
V34_S9	72.8686	70.2743	85.7977	37.7214	37.7455	34.5669	55.807	90.7032	83.348	42.3136	28.0049	36.2636	37.2234	77.1073	52.1124	151.524	123.756
V36_S14	69.0847	68.1211	72.5336	37.4846	38.1406	34.1619	37.7424	75.8509	66.45	34.6952	28.6526	35.625	37.1361	75.6838	50.6349	142.022	118.552
V36_S16	80.0379	77.7126	81.999	37.0782	38.4259	36.085	40.8447	122.501	141.17	64.0451	79.5101	104.533	109.877	75.1399	49.6921	163.934	161.529
V36_S5	53.8725	60.4923	60.1326	39.1669	39.1034	35.2288	27.724	63.0606	53.5012	34.8056	47.218	52.0622	50.6309	74.1494	66.7139	138.982	76.887
V36_S6	54.2733	69.2595	82.9266	37.3019	37.7853	34.8432	34.2634	125.908	128.586	50.4557	81.0112	101.039	103.179	71.1865	56.5708	147.641	110.977
V36_S8	75.0825	63.9293	74.3643	38.445	38.6328	35.8156	36.7051	91.6703	92.3014	53.5589	54.8525	68.5345	72.9038	56.5173	51.1173	166.322	141.037
V37_S8	78.1055	70.054	66.7163	38.0669	38.2318	35.5991	47.2234	114.77	116.419	71.7123	69.2755	86.8816	87.812	68.9882	53.2215	135.003	87.1852
V6_S13	68.5889	44.2755	43.868	39.2	39.2742	36.3315	20.7307	94.014	98.5105	54.6656	76.1105	88.8165	85.2619	81.9728	65.981	151.081	75.487
V6_S14	62.6413	55.6186	58.4391	38.0275	38.2794	34.6574	37.3863	236.045	270.637	134.983	152.461	189.615	189.529	55.611	57.4716	141.248	91.7702
V6_S15	58.981	51.7353	53.0874	38.1041	38.3709	35.4799	26.1752	78.6324	74.6394	43.4826	44.4012	54.2694	51.7636	75.418	60.5831	159.299	107.999
V6_S16	65.1354	34.8318	63.6792	38.1792	37.8381	35.157	28.0454	104.663	102.545	60.5832	62.4883	70.324	67.7985	83.468	59.7334	155.196	95.058
V7_S10	51.6386	45.878	37.9813	39.3337	38.8957	34.6771	25.4805	101.351	99.8923	54.3267	64.3161	69.5733	65.4392	83.9195	75.1865	163.29	58.6273
V7_S11	56.5016	47.3022	43.7741	39.5793	39.4197	36.6897	18.3965	83.7688	83.8463	55.2176	66.586	70.4897	64.5132	86.1913	81.729	215.678	90.2148
V7_S12	70.1974	39.3207	38.3139	39.0504	38.484	35.6965	24.239	94.1124	98.832	47.0539	64.415	70.6519	65.3729	64.4756	81.7506	178.499	56.8241
V7_S13	57.004	45.4193	41.5253	38.5217	38.3482	33.6861	18.9995	79.9313	75.1438	42.5705	47.237	54.5273	51.8434	71.5281	66.5169	137.803	59.7262
V7_S14	62.8026	40.6072	44.9596	38.7821	37.9632	35.3803	20.9021	74.0086	69.458	44.8706	47.4424	52.8453	48.958	84.657	66.1859	158.175	77.0955
V7_S15	71.5475	39.1555	46.0815	38.3041	36.9124	34.8847	27.4048	100.447	94.5173	60.6122	61.6175	69.436	64.5309	74.7378	71.8791	168.527	75.5653
V7_S16	45.4968	34.1568	39.954	38.8818	38.9699	35.2681	18.088	75.6604	67.9517	44.0959	43.9159	52.9668	49.0009	63.5045	68.0867	161.074	71.8823
V7_S4	67.4356	49.4866	45.2528	38.7627	38.5955	34.3524	21.3328	68.8628	59.0957	33.8206	29.7435	36.618	34.1028	58.4478	70.2167	169.897	80.7095
V7_S5	62.6626	46.2712	49.3177	38.91	38.8857	35.414	19.868	117.323	112.748	71.654	63.8579	71.1608	67.3344	98.2005	76.2432	180.296	78.9205
V7_S6	54.8546	49.3193	50.4902	37.9588	37.1585	34.0912	23.2216	53.4806	44.7637	25.1081	31.5384	35.2542	34.1543	61.0621	66.6763	151.27	69.2074
V7_S7	69.7729	50.6995	50.4742	38.2232	37.8431	34.5566	23.5526	70.2114	61.5084	33.382	30.5038	38.183	35.2666	78.2164	63.2421	133.854	68.7552
V7_S8	55.0816	41.7902	46.2815	39.4299	38.7211	36.2275	19.7407	102.505	102.804	53.1307	58.2934	70.9579	68.3731	97.4824	71.5731	168.903	78.6095
V7_S9	57.1932	34.7063	46.3287	38.5746	38.2581	34.5189	18.7769	77.8216	74.5181	35.9129	47.8578	53.836	50.8607	78.0786	74.5297	163.746	76.005
V24_S4	62.0644	67.0757	86.9419	39.3715	39.3939	36.1553	28.6974	75.4118	68.4459	35.1747	26.8545	37.8672	38.1738	75.53	59.7807	174.203	107.821
V24_S8	59.6845	56.7439	63.0073	38.0046	37.8897	34.3128	26.1936	79.5264	78.3598	43.3135	41.82	53.8188	53.9713	83.6047	66.6836	194.941	116.596
V25_S1	69.8836	54.0337	63.1374	36.5556	36.0502	33.7598	23.5909	96.4942	88.5964	49.2387	41.0275	52.5079	52.9205	85.5704	67.5005	197.144	110.111
V25_S10	76.26	54.0303	55.4272	36.944	37.2861	33.5875	25.2825	62.738	55.4847	33.303	40.438	51.6455	51.166	103.914	70.084	157.561	73.0281
V25_S2	68.0834	57.2318	54.096	38.761	39.341	34.6075	26.1582	68.3961	56.1657	35.7759	28.5946	36.4014	34.4454	95.0774	69.8631	146.643	73.8916
V25_S3	52.3045	51.0647	56.1706	38.8134	38.7415	34.9847	21.4217	60.2639	56.4496	25.2648	41.5203	50.1701	48.4096	95.6485	72.17	169.769	81.5735
V25_S7	69.9116	58.6996	73.721	35.1421	34.0477	31.317	29.2117	115.104	113.569	47.782	37.8207	53.4727	51.9354	51.693	59.635	165.778	103.751
V25_S8	76.4076	54.4429	67.5671	37.1996	35.1788	33.5088	26.5898	102.432	97.1709	43.8114	43.4575	56.0602	54.3032	79.5769	62.4919	141.755	81.579
V26_S2	79.7667	63.7393	85.5213	36.0918	36.4481	33.9023	33.8952	57.5246	47.2801	26.7132	25.399	35.6459	36.6392	61.3445	54.422	177.911	140.882
V26_S3	64.4397	53.6848	76.6375	35.6005	34.6611	32.3577	39.2033	55.1276	48.5463	23.9708	24.5305	34.9227	36.6383	66.1947	57.9007	157.316	102.479
V3_S1	75.1452	58.554	58.438	37.7382	37.9678	34.7027	40.08	73.555	77.4847	40.7978	55.823	71.1092	71.3195	82.3618	57.7226	135.618	79.3553
V3_S3	52.0712	63.4643	46.7757	40.3201	39.178	36.0125	27.803	132.507	128.324	81.755	63.6637	71.7962	67.7515	99.2888	67.0717	174.778	95.9873
V3_S4	45.8511	58.1315	54.7621	37.1858	37.2733	33.7516	28.9772	70.2254	56.3288	31.1227	30.1061	35.0765	34.7643	75.2415	52.9803	135.115	98.8542
V5_S1	61.7114	59.9401	69.136	38.7016	37.5341	33.8046	30.0491	62.3009	59.1062	36.0848	41.5684	54.8332	51.627	90.133	60.2248	141.027	78.585
V5_S2	73.2423	55.9886	58.0149	36.2438	35.3552	32.8075	30.3595	91.609	78.748	40.6275	27.5965	36.7742	35.0968	79.8088	53.3842	152.049	106.884
V5_S3	59.4629	48.373	46.0689	38.3201	37.7617	35.0998	22.6835	94.1524	82.4609	50.7523	43.9539	53.1225	49.296	63.1664	65.6141	155.534	78.8235
V5_S4	70.763	54.7389	60.1882	38.761	37.966	35.1271	27.6253	69.0458	72.301	44.7595	57.6124	69.3205	65.7763	102.158	63.0675	166.148	99.1023
V6_S1	69.0204	47.1223	47.1538	38.1618	37.9095	34.1733	21.4221	96.4754	99.7786	52.0456	63.5781	70.9587	67.8534	92.8367	70.6777	158.152	63.6498
V6_S2	68.6557	47.519	46.4952	39.612	39.4604	35.3032	20.3738	93.7608	80.8716	51.2017	47.5985	53.8506	50.3543	77.7008	74.1374	195.851	99.2574
V6_S3	60.5584	57.3137	55.5833	355.402	325.906	302.932	27.7985	103.701	98.7198	50.3135	27.879	35.9281	35.6472	92.737	69.3774	155.914	105.647
V6_S4	58.3376	57.0157	60.8768	36.8253	36.9969	33.6855	29.6849	66.5317	67.682	28.1244	42.3247	52.9133	53.3449	77.0666	58.6888	133.216	82.4185
V6_S5	57.008	49.6773	50.5522	37.531	37.234	33.6131	26.3212	94.3814	87.3636	50.4586	45.5722	52.1034	51.1553	82.1117	65.5747	141.418	70.774
V6_S6	64.2538	58.6465	63.6408	37.2776	37.0149	33.6124	38.5598	52.3012	45.5337	25.1248	27.4953	34.8977	35.8484	63.4501	54.803	115.651	75.2838
V6_S7	69.4029	42.0492	53.2873	37.2032	37.1087	34.3628	25.3954	57.2302	44.5036	27.5165	26.5925	37.5891	36.3579	74.9419	60.7006	122.706	54.2166
V6_S8	48.9737	56.7739	60.9643	37.2364	37.1243	33.2433	27.1605	54.1103	50.4064	25.822	29.721	36.3979	37.1198	72.8451	59.5428	130.915	77.9077
V39_S10	74.3261	51.1313	52.4238	37.9201	38.3601	33.3932	29.7892	101.666	84.7188	49.3319	42.7616	53.0631	54.4346	77.6242	61.0359	157.309	101.268
V39_S11	74.0325	70.8629	78.7131	38.0516	38.56	35.2449	51.6075	104.845	101.343	56.4152	55.7653	67.4042	70.4836	51.2405	49.1431	117.741	93.5627
V39_S12	73.7279	66.5351	61.5175	39.3548	39.9354	36.0223	33.9112	77.411	68.2221	39.4792	41.7185	48.981	50.2137	75.7843	60.3394	139.07	88.9145
V39_S2	67.39	83.0253	84.0739	39.2285	39.5511	36.717	40.8325	77.1848	73.951	28.2128	34.1176	45.531	47.8537	62.587	46.4971	135.55	99.6835
V39_S3	79.5152	50.3775	58.8974	37.6386	39.0119	33.3992	32.2511	170.309	166.418	68.8126	96.6951	103.579	100.846	76.3907	62.9967	164.427	105.061
V39_S4	65.3105	58.2695	69.3185	35.9207	38.1062	32.2758	33.8172	118.16	100.01	57.6836	51.2371	69.7033	74.9392	69.3228	51.3473	157.536	112.014
V39_S5	82.7986	72.5579	63.9159	37.1409	38.1353	33.7314	38.7416	89.6581	76.121	40.8819	28.6949	35.0592	36.2416	75.0822	53.0022	157.873	121.114
V39_S6	64.184	58.3312	43.4498	38.1192	39.2725	35.4422	27.3273	106.988	108.396	53.6783	77.9317	87.0766	85.0041	75.523	60.6487	132.055	71.6784
V39_S7	65.7514	68.222	74.7714	36.4683	37.6768	34.0707	35.744	97.336	88.9845	41.7766	39.8074	50.9984	53.3922	58.6794	52.2145	168.597	138.775
V39_S8	85.7474	77.887	91.2302	35.4701	36.6539	32.122	53.8444	151.142	142.058	71.2934	59.4023	86.1715	97.0663	64.2321	50.5219	167.038	162.017
V39_S9	65.4764	82.9967	76.4335	36.8051	37.7752	33.0525	46.5572	101.916	106.552	60.3825	66.5478	83.8136	88.1751	72.7975	47.5062	148.508	138.492
V11_S12	58.3483	44.2058	44.6819	38.314	37.8427	34.3553	17.9037	97.0361	87.6426	44.3105	48.0669	55.475	51.8805	92.4036	76.3758	180.391	73.274
V13_S4	65.3683	44.5512	40.2443	38.6741	36.9162	33.8565	18.3892	90.2332	82.3012	53.1294	46.8294	53.5784	47.3283	88.7556	78.2699	181.963	74.6519
V13_S5	68.2367	43.9179	47.0494	37.1956	35.4228	32.8713	27.0488	157.505	142.466	82.1669	61.9183	72.3234	65.6483	83.29	67.876	143.714	61.8732
V15_S5	64.6951	62.0056	56.2695	38.1191	37.2276	33.6221	27.8696	69.6774	66.2968	35.0316	28.1518	35.6832	34.3391	83.4139	65.1327	184.219	121.337
V15_S6	60.8673	62.8577	77.5354	35.4087	32.8689	31.6156	31.0603	85.2057	98.8882	40.5	39.5811	53.7074	50.9936	84.5194	57.8094	165.433	106.797
V15_S7	68.4877	42.2711	50.7406	38.543	37.8976	32.9887	21.8911	99.6116	88.5357	53.5565	47.1132	53.5208	51.493	79.936	80.0539	196.14	100.907
V16_S1	68.1852	63.0113	58.3599	34.6035	34.4536	31.4205	30.0175	64.9979	54.5569	30.8398	23.2194	32.2006	32.4626	79.6247	57.117	147.891	93.8264
V16_S11	43.7299	44.3637	47.1875	37.7172	37.6364	33.4749	19.2029	94.563	87.6892	50.5971	56.3234	68.6875	64.679	79.8691	83.4513	189.235	71.2468
V16_S3	61.6399	49.8434	47.8753	38.6897	38.8786	34.0259	22.0891	91.2948	70.0632	44.6633	30.7914	35.9801	35.6388	70.3318	70.0164	164.327	81.2187
V16_S5	59.4399	44.66	43.699	38.6686	38.536	34.482	19.2271	93.2769	74.0829	44.2337	30.0812	36.8216	35.7656	96.8183	73.0887	157.597	60.5645
V16_S6	70.1269	42.5326	57.6844	39.3727	40.0264	36.5529	34.3986	74.2837	68.6559	42.6386	43.1908	51.899	48.3563	85.931	73.1528	169.708	88.1324
V16_S9	68.5408	53.4588	46.5091	37.8876	39.2478	33.1733	24.1927	114.637	78.3573	51.5433	36.1868	58.1194	58.0017	116.197	87.3194	213.843	92.3619
V28_S7	67.286	49.7638	53.2353	39.1623	37.7639	36.2314	22.8941	96.9647	116.863	56.1804	103.17	104.841	94.4911	80.3388	83.2473	170.226	67.0726
V8_S1	80.4696	48.644	45.2862	38.4884	37.9323	33.0748	21.1218	54.5627	43.5691	28.043	32.6166	37.1139	33.4233	92.8768	75.0521	164.238	65.9322
V8_S2	78.7786	64.6868	78.7036	36.5525	34.7466	35.1381	56.5906	112.387	103.468	58.6618	41.9792	53.6138	48.4963	75.2035	62.3393	194.788	159.813
V8_S3	76.3029	60.5963	69.8719	38.7911	38.1875	32.7854	28.6467	155.586	153.945	78.9215	56.3563	72.576	72.2681	68.4215	54.6712	117.074	72.1032
V8_S4	58.6821	50.4795	51.4409	37.7236	37.0225	34.1684	22.8735	109.881	114.472	66.3367	74.0149	85.7518	81.0063	69.9155	64.1131	147.817	69.2209
V8_S6	57.8168	42.9437	40.9514	39.867	38.9862	35.566	19.1202	114.363	120.855	66.0533	79.5672	87.757	81.1668	99.8405	80.7326	204.08	75.4772
V8_S7	60.4229	53.211	53.4013	37.7342	36.4603	32.8492	24.5911	84.5758	82.9384	52.7253	57.5202	68.4925	64.214	88.608	76.3737	185.033	88.3329
V8_S8	56.8874	43.2126	88.7674	42.63	42.4081	39.4329	23.7865	107.737	111.865	46.9036	67.3406	85.9841	79.5982	80.2402	73.1347	218.28	148.793
V14_S1	63.9587	45.3662	41.7724	38.9574	38.6447	35.5619	18.0406	90.2172	83.4998	52.2124	64.4575	71.9354	67.342	84.109	70.7416	149.354	57.9609
V14_S10	66.6037	40.3931	33.9709	39.8715	39.1935	34.9437	17.2349	84.0268	83.503	37.2296	65.9166	68.8806	65.2181	109.6	82.7614	160.289	53.791
V14_S11	58.5501	40.258	44.2276	39.2771	38.0212	35.8761	14.4891	71.1211	58.7979	35.6261	32.4667	37.3464	33.7288	94.2345	78.2542	187.136	68.0137
V14_S12	60.4005	37.5181	36.7338	38.6572	39.0449	35.2092	15.0346	115.991	94.7923	63.7008	47.2981	55.7583	52.3258	92.2256	71.5244	171.946	62.8989
V14_S2	77.0798	45.6878	42.3426	39.3745	38.5123	35.1341	19.3058	97.1243	89.0801	54.2525	48.0517	54.3054	51.7254	79.565	71.0687	177.018	77.1283
V14_S3	61.7425	49.7805	44.9804	39.2245	38.2945	34.0447	30.7138	72.958	74.0825	43.5577	58.5561	70.3366	69.9568	74.5808	63.9878	133.141	65.3217
V14_S4	62.5325	44.3782	47.6934	39.1467	38.443	33.5516	19.6707	60.7658	59.4269	35.1899	47.2614	53.6564	50.769	83.8864	75.4509	183.491	96.0883
V14_S5	58.5057	40.8677	39.3948	40.0542	39.6885	36.449	23.6981	101.171	97.1465	63.853	61.1167	73.4197	68.4689	76.4744	78.6663	203.463	81.9634
V14_S6	66.342	35.7206	43.636	39.0839	38.6405	35.5414	17.3025	77.4462	70.1204	45.6455	46.1337	53.1316	49.964	86.18	79.208	175.844	58.7238
V14_S7	68.2958	40.688	37.6733	38.7297	39.0131	34.8905	17.4558	94.0508	84.0978	57.708	46.8837	53.7845	49.7672	104.36	80.5912	175.307	56.6399
V14_S9	58.0509	41.8562	37.8739	38.9583	38.2437	33.7265	17.2978	52.5914	42.6356	26.6728	29.6606	36.4072	34.4306	72.3421	73.4871	181.035	70.3886
V15_S11	58.6192	39.4788	39.2238	39.556	39.3202	35.6829	19.0396	100.025	101.993	48.1874	62.4472	69.3532	63.7826	103.384	78.9684	205.25	89.6403
V25_S11	57.2645	67.5045	49.7177	39.4654	39.0565	35.5379	24.155	80.7969	70.1202	44.8207	43.6236	53.7768	52.3985	77.6453	66.583	196.12	123.58
V25_S5	54.4771	42.1145	41.854	38.8309	38.3356	34.679	18.3413	129.778	129.277	83.3575	91.8222	108.597	105.677	87.6542	75.4588	165.715	59.134
V25_S6	60.76	50.6678	46.9637	39.1203	38.5282	34.6774	20.784	129.971	134.361	54.7848	77.8425	88.5741	84.1362	96.2111	77.1957	197.146	93.4324
V2_S1	58.7668	35.0942	56.3102	24.7254	25.7783	48.0152	15.1224	166.378	288.538	85.1193	49.6742	99.0932	185.01	106.527	32.7333	95.4562	75.8991
V32_S1	67.1291	59.4757	48.6671	38.0572	38.9962	34.3408	28.871	127.098	127.64	63.845	84.8137	107.396	109.612	88.5061	58.611	151.045	100.518
V32_S2	75.768	56.1354	56.8961	37.1694	38.2471	33.2717	30.1097	88.0394	74.0065	41.288	43.4011	54.3028	56.608	74.0122	52.9139	124.496	80.8395
V32_S3	56.0559	84.6913	85.3511	38.1368	39.0896	34.9022	41.7144	74.6944	65.9814	34.8069	28.8664	36.9863	36.8148	73.6035	56.4609	132.084	99.3282
V32_S4	81.5031	49.5228	59.629	38.4107	38.8079	33.5879	36.1356	60.9569	46.0138	24.9929	31.1154	37.7526	36.4458	72.8635	57.1753	179.547	140.194
V32_S5	66.3101	66.7134	68.8429	37.8999	38.2843	34.7304	37.4141	93.7676	89.5816	52.5708	57.5774	71.0196	72.1657	72.9322	55.5564	151.8	112.693
V32_S6	63.5933	67.3188	85.9633	37.6591	38.8249	34.4714	49.0979	102.756	99.1875	53.2278	45.1165	53.017	55.8756	69.403	52.5631	141.357	117.391
V36_S1	50.7822	60.4406	62.8344	36.0324	37.6436	33.0003	31.6031	110.659	95.2133	48.6788	39.1647	53.8636	58.1656	76.8066	49.2441	149.359	123.976
V36_S10	68.7522	76.1341	67.4913	39.5787	39.9802	36.5627	40.6597	68.7486	59.4316	36.341	31.4446	36.5518	34.1354	84.9169	67.3332	149.834	97.0318
V36_S12	87.2328	68.3587	66.7073	38.2994	38.9221	35.4279	37.8281	96.369	90.8932	50.3681	57.1672	69.8754	74.3941	70.1699	50.1409	152.968	117.532
V36_S2	72.5485	65.121	61.2312	39.5887	39.9771	35.2503	29.8597	90.3105	96.3265	64.5192	88.0565	88.1331	82.3377	77.2425	69.6253	170.338	96.8007
V36_S3	67.7684	60.0644	60.7275	38.935	39.3248	34.5631	29.225	82.3851	72.2335	44.543	44.6313	52.9668	54.7495	84.476	56.2374	159.144	117.931
