sample	probe_id	CpG_meth	CpG_total	CpG_frac	nonCpG_meth	nonCpG_total	nonCpG_frac	n_reads	n_reads_with_CpG
V10_S3	cg04904331	310534	459412	0.675938	4477	1069528	0.00418596	22423	22423
V10_S3	cg05057720	74891	128611	0.582306	1487	300807	0.00494337	6022	6022
V10_S3	cg05166490	516737	935331	0.552464	7273	2043646	0.00355884	43755	43755
V10_S3	cg05302386	62316	793972	0.0784864	4291	2398443	0.00178908	50280	50280
V10_S3	cg05374412	89803	451220	0.199023	3180	1375118	0.00231253	28366	28366
V10_S3	cg05377226	93852	339867	0.276143	2181	934643	0.00233351	17992	17992
V10_S3	cg05917460	348230	674718	0.516112	6796	2157915	0.00314934	46650	46636
V10_S3	cg06013113	52429	63671	0.823436	869	312031	0.00278498	5882	5882
V10_S3	cg06382344	599115	970582	0.617274	10669	1635469	0.00652351	34865	34865
V10_S3	cg06463958	691985	1304357	0.530518	9561	3929136	0.00243336	84977	84964
V10_S3	cg06530490	28569	466847	0.0611956	1616	1103434	0.00146452	25983	25983
V10_S3	cg06590173	258	16749	0.0154039	207	148256	0.00139623	3317	3306
V10_S3	cg06825142	727798	1133554	0.64205	8620	3026213	0.00284844	61404	61347
V10_S3	cg06962944	141325	620731	0.227675	2449	1603605	0.00152718	34853	34853
V10_S3	cg07790615	530900	938851	0.565478	5275	1934746	0.00272646	43177	43177
V10_S3	cg07915921	57308	103863	0.551765	639	261632	0.00244236	5582	5582
V10_S3	cg08382226	78042	216437	0.360576	1286	676949	0.0018997	15623	15614
V10_S3	cg08548396	131215	218199	0.601355	2686	660303	0.00406783	15251	15247
V10_S3	cg08566455	20611	32876	0.626932	217	83244	0.00260679	1287	1287
V10_S3	cg08862890	129677	243590	0.532358	1299	703594	0.00184624	14140	14140
V10_S3	cg08934785	3288	74226	0.0442971	539	359666	0.00149861	7846	7846
V10_S3	cg09250933	51748	79933	0.647392	561	305568	0.00183593	6018	6018
V10_S3	cg09493505	69649	102321	0.680691	970	239509	0.00404995	4997	4997
V10_S3	cg10143067	152938	266458	0.573967	2189	886211	0.00247007	20661	20661
V10_S3	cg10249375	113467	313231	0.362247	1453	1024077	0.00141884	21417	21417
V10_S3	cg10512745	1306794	3091617	0.422689	30720	8877446	0.00346045	210893	210705
V10_S3	cg11014373	88409	271989	0.325046	3190	802888	0.00397316	19326	19319
V10_S3	cg11017065	22964	42611	0.538922	479	119887	0.00399543	2570	2570
V10_S3	cg11314310	99995	110785	0.902604	1064	377083	0.00282166	9189	9189
V10_S3	cg11561737	23362	439137	0.0531998	1559	1047739	0.00148797	26350	26350
V10_S3	cg11601252	2095164	3936400	0.532254	28464	10840421	0.00262573	235798	235597
V10_S3	cg11660826	40418	65307	0.618892	351	196871	0.00178289	4192	4192
V10_S3	cg11942956	36091	75199	0.47994	742	148147	0.00500854	2983	2983
V10_S3	cg11957331	167925	417310	0.402399	2321	1143049	0.00203053	23481	23481
V10_S3	cg12042659	79264	135162	0.586437	1357	449137	0.00302135	9345	9345
V10_S3	cg12074025	106212	210157	0.505394	988	600601	0.00164502	12634	12634
V10_S3	cg12483476	479871	797601	0.601643	9595	1458719	0.00657769	31489	31489
V10_S3	cg12528056	33123	92223	0.359162	556	228532	0.00243292	5037	5037
V10_S3	cg12928379	163399	251976	0.64847	1957	672598	0.00290961	13751	13745
V10_S3	cg12974388	1347952	3185751	0.423119	22109	9780132	0.0022606	216710	216298
V10_S3	cg13314145	1278742	2046176	0.624942	15152	4036291	0.00375394	85477	85477
V10_S3	cg13592399	231869	863731	0.26845	4889	2885528	0.00169432	61910	61893
V10_S3	cg13840308	68828	82174	0.837589	869	318145	0.00273146	7351	7351
V10_S3	cg13912117	769820	1443308	0.533372	8576	4105659	0.00208882	86407	86407
V10_S3	cg13939859	83119	159691	0.520499	1228	324730	0.0037816	7511	7510
V10_S3	cg13958426	27061	51217	0.52836	307	172620	0.00177847	4424	4424
V10_S3	cg14038391	181996	301485	0.603665	2854	763034	0.00374033	15677	15677
V10_S3	cg14050824	39607	87116	0.454647	559	338436	0.00165172	6710	6703
V10_S3	cg14123923	2086314	5454775	0.382475	36883	9977217	0.00369672	229563	229534
V10_S3	cg14168530	663125	1067388	0.62126	10254	2757438	0.00371867	58395	58395
V10_S3	cg14186641	150781	1109666	0.13588	4815	2408336	0.00199931	56767	56767
V10_S3	cg14327531	31984	55874	0.572431	462	176683	0.00261485	4429	4429
V10_S3	cg14394692	902565	1224270	0.737227	9823	3338510	0.00294233	63512	63510
V10_S3	cg14458834	6046	47288	0.127855	159	124265	0.00127952	2040	2040
V10_S3	cg14473102	1330	114842	0.0115811	231	187898	0.00122939	4407	4407
V10_S3	cg14489801	1883	2941	0.640258	25	20359	0.00122796	391	391
V10_S3	cg14712186	378101	723973	0.522258	6183	1478677	0.00418144	34263	34253
V10_S3	cg14743594	588804	842605	0.69879	5782	1794808	0.00322151	36741	36741
V10_S3	cg14861089	115240	172385	0.668504	2757	371259	0.00742608	7640	7640
V10_S3	cg15044248	238799	511447	0.466909	3027	1508042	0.00200724	30990	30990
V10_S3	cg15267232	113416	170707	0.66439	1006	400132	0.00251417	7894	7894
V10_S3	cg15467646	135900	279177	0.486788	2466	732518	0.00336647	15243	15243
V10_S3	cg15576900	183678	424642	0.432548	6187	1170232	0.00528699	26369	26368
V10_S3	cg15778437	89285	274948	0.324734	1392	803984	0.00173138	16683	16683
V10_S3	cg15836635	269659	587172	0.45925	7773	1975588	0.00393452	42419	42418
V10_S3	cg15994026	17562	394616	0.044504	1539	1101130	0.00139766	23765	23765
V10_S3	cg16150752	102813	192447	0.534241	1397	397246	0.00351671	8268	8268
V10_S3	cg16328106	52397	94052	0.557107	268	281123	0.000953319	6669	6669
V10_S3	cg16732616	47322	87396	0.541466	934	154341	0.00605154	3801	3801
V10_S3	cg16779463	65485	140013	0.467707	879	411375	0.00213674	8457	8457
V10_S3	cg16926316	40204	54140	0.742593	448	235622	0.00190135	4314	4314
V10_S3	cg17031478	1034	122376	0.00844937	415	314097	0.00132125	6665	6665
V10_S3	cg17712694	276485	514327	0.537567	3439	1060080	0.00324409	22121	22121
V10_S3	cg17774001	31791	34980	0.908834	509	252790	0.00201353	5686	5686
V10_S3	cg17812788	3395	63538	0.0534326	191	142819	0.00133736	3122	3122
V10_S3	cg17839237	35264	52836	0.667424	320	169920	0.00188324	3716	3716
V10_S3	cg17872757	391947	736814	0.531948	8721	2028499	0.00429924	44001	44001
V10_S3	cg17969084	12855	661202	0.0194419	2426	1790459	0.00135496	42785	42785
V10_S3	cg18091469	2805	37720	0.0743637	304	148513	0.00204696	3349	3349
V10_S3	cg18206027	1116473	1641831	0.680017	16035	3814951	0.0042032	80063	80063
V10_S3	cg18621142	61773	82268	0.750875	779	378247	0.0020595	8251	8247
V10_S3	cg18751958	57886	65584	0.882624	1088	239760	0.00453787	4170	4170
V10_S3	cg18816098	748	77465	0.00965597	266	206500	0.00128814	4800	4800
V10_S3	cg19497031	8107	19421	0.417435	139	35356	0.00393144	816	816
V10_S3	cg19807257	8429	17825	0.472875	182	59467	0.00306052	1110	1110
V10_S3	cg19882915	51015	63023	0.809466	551	302380	0.00182221	5886	5879
V10_S3	cg20072442	432439	787917	0.548838	4846	2288658	0.0021174	47585	47585
V10_S3	cg20079899	307132	524685	0.585365	4446	1330900	0.0033406	28827	28827
V10_S3	cg20183619	981737	1667567	0.588724	14914	5091637	0.00292912	108047	108043
V10_S3	cg20295992	330235	916059	0.360495	5520	2850674	0.00193638	65811	65777
V10_S3	cg20449590	36556	57782	0.632654	412	166387	0.00247615	3820	3820
V10_S3	cg20690085	31034	38412	0.807925	304	229192	0.0013264	4656	4656
V10_S3	cg20872937	859088	1388571	0.618685	18772	3731299	0.00503096	75827	75820
V10_S3	cg20980783	742085	1367184	0.542784	11649	3215832	0.00362239	69248	69248
V10_S3	cg21038156	993475	1434911	0.69236	12279	3103363	0.00395668	70417	70374
V10_S3	cg21039708	33998	79430	0.428025	763	242859	0.00314174	5340	5340
V10_S3	cg21185289	721881	1719593	0.419798	15443	4846459	0.00318645	99629	99569
V10_S3	cg21277995	928780	1587257	0.585148	13086	3365979	0.00388772	74812	74812
V10_S3	cg21790626	32312	66966	0.482514	350	190782	0.00183455	3952	3952
V10_S3	cg21898844	45597	54531	0.836167	698	328731	0.00212332	7088	7086
V10_S3	cg21929943	229435	336834	0.681152	2045	978378	0.00209019	20189	20189
V10_S3	cg22231056	1402	73860	0.0189819	235	221184	0.00106246	4986	4986
V10_S3	cg22399133	47250	77740	0.607795	609	256710	0.00237233	4902	4902
V10_S3	cg22868282	31422	501880	0.0626086	1913	1350514	0.0014165	34182	34182
V10_S3	cg23026864	60795	128458	0.473268	876	305689	0.00286566	5825	5825
V10_S3	cg23164203	17045	36568	0.466118	261	139492	0.00187108	2946	2946
V10_S3	cg23871697	88442	98612	0.896869	1353	421609	0.00320913	7525	7525
V10_S3	cg23912454	42810	79745	0.536836	3031	218610	0.0138649	4550	4550
V10_S3	cg23960736	2896	8782	0.329765	173	211044	0.000819734	4860	4757
V10_S3	cg24221648	307782	413044	0.745155	6483	882050	0.00734992	18178	18178
V10_S3	cg24292235	179495	329527	0.544705	2901	903091	0.0032123	19971	19971
V10_S3	cg24416513	2252	147357	0.0152826	410	213989	0.00191599	5222	5222
V10_S3	cg24507921	6724	43559	0.154365	240	300846	0.00079775	5771	5771
V10_S3	cg24632241	156316	286572	0.545469	1748	828856	0.00210893	17242	17242
V10_S3	cg24761507	1333660	3440229	0.387666	22531	11458622	0.00196629	256083	255773
V10_S3	cg24831879	43259	76449	0.565854	731	379293	0.00192727	6814	6814
V10_S3	cg25200152	28086	52915	0.530776	576	201518	0.00285831	4681	4681
V10_S3	cg25875213	101264	273087	0.370812	1203	764601	0.00157337	18483	18483
V10_S3	cg25884711	750962	1105311	0.679412	7846	3427502	0.00228913	72146	72080
V10_S3	cg26121782	61270	118098	0.518806	1577	242033	0.00651564	5041	5041
V10_S3	cg26682580	651592	1231830	0.528963	7494	3376781	0.00221927	68012	68010
V10_S3	cg27200446	268620	789243	0.340351	4592	2345336	0.00195793	51133	51133
V10_S3	cg27393010	26868	55531	0.483838	880	168688	0.00521673	3478	3478
V10_S3	cg27577527	80495	173920	0.462828	1186	665064	0.00178329	13969	13969
V11_S12	cg00002719	252	39763	0.00633755	1587	128792	0.0123222	3759	3759
V11_S12	cg00469207	5503	158206	0.0347838	4409	445123	0.00990513	11148	11148
V11_S12	cg00582524	5556	196022	0.0283438	6851	589180	0.011628	16238	16238
V11_S12	cg00995986	6960	82474	0.0843902	6062	416677	0.0145484	11947	11865
V11_S12	cg01163404	97199	116738	0.832625	8803	631874	0.0139316	16703	16703
V11_S12	cg01419831	170877	1519498	0.112456	63130	4457878	0.0141614	125250	125250
V11_S12	cg01452847	5460	304547	0.0179283	9314	657878	0.0141576	17981	17981
V11_S12	cg01576677	32936	778501	0.0423069	21979	1741442	0.0126211	46747	46747
V11_S12	cg02467990	31443	1522783	0.0206484	43634	3611979	0.0120804	96772	96772
V11_S12	cg02511231	347802	6746624	0.051552	209740	16981833	0.0123508	453926	453907
V11_S12	cg02571204	96777	108926	0.888466	6421	387947	0.0165512	12285	12285
V11_S12	cg02699898	109531	132835	0.824564	11757	523772	0.0224468	12539	12539
V11_S12	cg02919936	250262	4380857	0.0571263	153579	12107636	0.0126845	324460	324460
V11_S12	cg03011535	84611	1912479	0.0442415	60355	4788558	0.012604	130930	130930
V11_S12	cg03217795	10044	959689	0.0104659	19513	2032060	0.00960257	53486	53486
V11_S12	cg03257575	59680	646455	0.0923189	24074	2055268	0.0117133	46528	46528
V11_S12	cg03401096	45295	1525112	0.0296995	44521	3669990	0.0121311	99971	99971
V11_S12	cg03502002	4126	188083	0.0219371	3588	410737	0.00873552	11285	11285
V11_S12	cg03563667	4175	293649	0.0142177	7281	670429	0.0108602	16360	16360
V11_S12	cg03735888	43542	586888	0.0741913	24890	2000893	0.0124394	53904	53904
V11_S12	cg04123776	11536	431898	0.02671	16104	1290978	0.0124743	33212	33212
V11_S12	cg04261408	3063	232548	0.0131715	6776	654013	0.0103607	17793	17793
V11_S12	cg04281464	67083	641523	0.104568	21353	1950235	0.0109489	50705	50705
V11_S12	cg04869380	65351	78274	0.8349	7676	808022	0.00949974	16958	16958
V11_S12	cg04904331	19730	953879	0.020684	27283	2265415	0.0120433	60628	60628
V11_S12	cg05057720	14629	312768	0.0467727	11333	712110	0.0159147	18858	18858
V11_S12	cg05166490	82478	2621582	0.0314612	58083	5593211	0.0103846	149333	149333
V11_S12	cg05302386	44472	1691673	0.0262888	65326	5121899	0.0127543	131246	131229
V11_S12	cg05374412	46970	1662380	0.0282547	56718	4773447	0.011882	119381	119381
V11_S12	cg05377226	12765	770943	0.0165576	21371	2036681	0.0104931	51566	51566
V11_S12	cg05917460	70200	1955243	0.0359035	80200	6545458	0.0122528	172157	172157
V11_S12	cg06013113	119515	147447	0.810562	11471	751804	0.015258	17302	17302
V11_S12	cg06382344	72708	1796258	0.0404775	37172	2935645	0.0126623	82638	82638
V11_S12	cg06463958	180066	4518068	0.0398546	166607	13721398	0.0121421	362514	362514
V11_S12	cg06530490	32911	1168998	0.0281532	30811	2713444	0.0113549	74071	74071
V11_S12	cg06590173	5487	51497	0.10655	6607	435129	0.015184	11338	11308
V11_S12	cg06825142	480974	2732010	0.176051	86733	7604228	0.0114059	194544	194222
V11_S12	cg06962944	48102	1079073	0.0445772	33988	2698249	0.0125963	73768	73768
V11_S12	cg07790615	66573	2640081	0.0252163	58151	5247253	0.0110822	146763	146763
V11_S12	cg07915921	17058	227440	0.075	7869	530674	0.0148283	13963	13963
V11_S12	cg08382226	106960	2566417	0.0416768	92919	7986704	0.0116342	222137	222101
V11_S12	cg08548396	164203	591759	0.277483	28928	1812920	0.0159566	51780	51777
V11_S12	cg08566455	10638	138060	0.0770535	2674	280879	0.00952011	6011	6011
V11_S12	cg08862890	8910	559168	0.0159344	17151	1551903	0.0110516	38796	38796
V11_S12	cg08934785	4985	154065	0.0323565	8794	752443	0.0116873	18831	18831
V11_S12	cg09250933	13411	158394	0.0846686	8887	718832	0.0123631	18027	18027
V11_S12	cg09493505	24353	1171455	0.0207887	32883	2783832	0.0118121	74448	74448
V11_S12	cg10143067	37648	785505	0.0479284	33176	2557203	0.0129735	74058	74056
V11_S12	cg10249375	35749	1116259	0.0320257	39959	3535273	0.0113029	90065	90065
V11_S12	cg10512745	483820	8161150	0.0592833	338129	26173962	0.0129185	746114	745848
V11_S12	cg11014373	24834	626909	0.0396134	24992	1802936	0.0138618	49209	49209
V11_S12	cg11017065	13986	878206	0.0159256	31050	2390170	0.0129907	63740	63740
V11_S12	cg11314310	128515	150103	0.856179	8460	447885	0.0188888	14280	14280
V11_S12	cg11561737	84399	1702947	0.0495606	55959	3897483	0.0143577	117303	117303
V11_S12	cg11601252	524561	8964845	0.0585131	311388	25401378	0.0122587	694526	694267
V11_S12	cg11660826	3191	148303	0.0215168	6167	430236	0.014334	12312	12312
V11_S12	cg11942956	4485	211925	0.0211631	4063	392357	0.0103554	9749	9749
V11_S12	cg11957331	125298	1366429	0.0916974	44851	3496353	0.0128279	90282	90282
V11_S12	cg12042659	3157	43454	0.0726515	1815	148345	0.012235	3978	3978
V11_S12	cg12074025	4504	470727	0.00956818	11870	1241783	0.00955884	34065	34065
V11_S12	cg12483476	147295	2034452	0.0724003	46444	3837421	0.0121029	103940	103940
V11_S12	cg12528056	153242	202635	0.756246	9477	472584	0.0200536	13403	13403
V11_S12	cg12928379	202508	1151740	0.175828	36785	3196553	0.0115077	81802	81660
V11_S12	cg12974388	491602	8941448	0.0549801	326016	26987428	0.0120803	732746	732161
V11_S12	cg13314145	160522	3816363	0.0420615	84796	7708277	0.0110006	207313	207313
V11_S12	cg13592399	64089	2454719	0.0261085	104565	8388850	0.0124648	218398	218398
V11_S12	cg13840308	61873	72194	0.857038	5391	279445	0.0192918	8886	8886
V11_S12	cg13912117	134686	3926246	0.034304	132817	11353486	0.0116983	300704	300704
V11_S12	cg13939859	18744	661929	0.0283172	15131	1324129	0.0114271	38326	38326
V11_S12	cg13958426	2060	267121	0.00771186	10653	866982	0.0122875	25378	25378
V11_S12	cg14038391	38392	903553	0.04249	23164	2110302	0.0109766	54110	54110
V11_S12	cg14050824	123134	150068	0.820521	8127	607945	0.013368	14706	14706
V11_S12	cg14123923	102647	3540231	0.0289944	78539	6613429	0.0118757	193682	193682
V11_S12	cg14168530	129698	2780168	0.0466511	86428	7043056	0.0122714	189220	189220
V11_S12	cg14186641	53558	3243920	0.0165103	85775	6948228	0.0123449	193271	193270
V11_S12	cg14327531	2170	111402	0.019479	5401	400417	0.0134884	11889	11889
V11_S12	cg14394692	376332	1572532	0.239316	44530	3780527	0.0117788	99454	99452
V11_S12	cg14458834	1412	111813	0.0126282	2720	308700	0.00881114	5844	5844
V11_S12	cg14473102	4558	308547	0.0147725	6166	449439	0.0137193	13731	13731
V11_S12	cg14489801	757	8787	0.08615	801	56885	0.014081	1339	1339
V11_S12	cg14712186	45090	1586198	0.0284265	35606	3168629	0.011237	91912	91912
V11_S12	cg14743594	479279	1867843	0.256595	48906	3811278	0.0128319	101299	101299
V11_S12	cg14861089	11544	369777	0.0312188	10249	697490	0.0146941	19685	19685
V11_S12	cg15044248	8881	895142	0.00992133	26427	2540756	0.0104012	63799	63799
V11_S12	cg15267232	8355	217280	0.0384527	4810	485811	0.00990097	12672	12672
V11_S12	cg15467646	111663	766975	0.145589	27405	1974851	0.013877	50459	50459
V11_S12	cg15576900	28793	1334261	0.0215797	41207	3406567	0.0120963	94251	94251
V11_S12	cg15778437	34425	789497	0.0436037	26113	2331770	0.0111988	61074	61074
V11_S12	cg15836635	64861	1528859	0.0424244	67317	5119263	0.0131497	140445	140445
V11_S12	cg15994026	11184	1028251	0.0108767	36453	2849508	0.0127927	73059	73059
V11_S12	cg16150752	76371	1484780	0.0514359	28335	2901822	0.00976455	76748	76748
V11_S12	cg16328106	657	84822	0.00774563	2448	230109	0.0106384	7281	7281
V11_S12	cg16732616	5030	140808	0.0357224	3519	250991	0.0140204	6860	6860
V11_S12	cg16779463	10939	1111255	0.00984383	33185	3153825	0.0105221	79268	79268
V11_S12	cg16926316	91916	110260	0.83363	6947	452439	0.0153546	10405	10405
V11_S12	cg17031478	6453	273094	0.0236292	6296	611262	0.0103	16483	16483
V11_S12	cg17712694	17430	333895	0.052202	6499	655155	0.00991979	17282	17282
V11_S12	cg17774001	63099	77758	0.811479	8121	529533	0.0153362	14812	14811
V11_S12	cg17812788	3827	150066	0.0255021	3691	342505	0.0107765	8786	8786
V11_S12	cg17839237	815	90267	0.00902877	2889	300584	0.00961129	7001	7001
V11_S12	cg17872757	13083	828119	0.0157985	29268	2249520	0.0130108	59995	59995
V11_S12	cg17969084	16582	852631	0.019448	31884	2550033	0.0125034	72717	72717
V11_S12	cg18091469	5466	56129	0.0973828	3192	217587	0.01467	5700	5700
V11_S12	cg18206027	18764	899183	0.0208678	25656	2140924	0.0119836	57225	57225
V11_S12	cg18621142	128047	157934	0.810763	11260	701538	0.0160504	19427	19426
V11_S12	cg18751958	132716	155760	0.852054	9941	534464	0.0185999	12510	12510
V11_S12	cg18816098	3358	192048	0.0174852	9407	560953	0.0167697	15828	15828
V11_S12	cg19497031	92	3009	0.0305749	69	5352	0.0128924	161	161
V11_S12	cg19807257	1656	18169	0.0911443	632	58461	0.0108106	1301	1301
V11_S12	cg19882915	155775	181097	0.860174	10494	813319	0.0129027	19946	19946
V11_S12	cg20072442	66400	2012489	0.032994	68389	5680125	0.0120401	154902	154902
V11_S12	cg20079899	33916	1473049	0.0230244	43565	3657363	0.0119116	98911	98911
V11_S12	cg20183619	114574	3210190	0.0356907	118420	10119315	0.0117024	261452	261427
V11_S12	cg20295992	27299	653469	0.0417755	23700	2032024	0.0116632	56558	56546
V11_S12	cg20449590	8756	129623	0.0675497	5598	381984	0.0146551	11192	11192
V11_S12	cg20690085	107782	125061	0.861835	9176	647546	0.0141704	16317	16317
V11_S12	cg20872937	119391	3491346	0.0341963	111203	9306222	0.0119493	238189	238189
V11_S12	cg20980783	92673	3695995	0.0250739	108704	8733536	0.0124467	238310	238310
V11_S12	cg21038156	67500	2548302	0.0264882	62133	5411894	0.0114808	154930	154930
V11_S12	cg21039708	13680	220647	0.0619995	7869	634645	0.0123991	16162	16162
V11_S12	cg21185289	225372	4232033	0.0532538	146170	12109252	0.0120709	320610	320556
V11_S12	cg21277995	140850	4590269	0.0306845	118491	9774586	0.0121224	267678	267678
V11_S12	cg21790626	7373	241520	0.0305275	8798	613670	0.0143367	17068	17068
V11_S12	cg21898844	118411	135120	0.87634	9963	763717	0.0130454	20218	20218
V11_S12	cg21929943	43518	1226348	0.0354858	34901	3456414	0.0100975	86419	86419
V11_S12	cg22231056	2474	163260	0.0151537	6151	459425	0.0133885	13415	13415
V11_S12	cg22399133	2816	162009	0.0173818	4410	479733	0.00919261	11892	11892
V11_S12	cg22868282	27653	1187122	0.0232942	44564	3356129	0.0132784	95758	95758
V11_S12	cg23026864	9541	282833	0.0337337	6834	657990	0.0103862	16868	16868
V11_S12	cg23164203	933	160113	0.00582713	7133	593197	0.0120247	15529	15529
V11_S12	cg23871697	124004	142047	0.872979	10913	621714	0.0175531	13992	13992
V11_S12	cg23912454	1553	194542	0.00798285	5630	516690	0.0108963	13177	13177
V11_S12	cg23960736	16287	23470	0.69395	8657	735762	0.011766	19784	19329
V11_S12	cg24221648	5672	292608	0.0193843	6875	569432	0.0120734	15559	15559
V11_S12	cg24292235	5318	548767	0.00969082	19267	1587978	0.012133	42588	42588
V11_S12	cg24416513	12883	381178	0.0337979	5765	481067	0.0119838	15364	15364
V11_S12	cg24507921	587	75852	0.00773875	4717	490721	0.00961239	12302	12302
V11_S12	cg24632241	4685	144883	0.0323364	4789	409007	0.0117088	11134	11134
V11_S12	cg24761507	548700	10371653	0.0529038	451135	35613739	0.0126674	984988	984596
V11_S12	cg24831879	149311	171742	0.869391	12388	829547	0.0149335	19030	19030
V11_S12	cg25200152	7877	117068	0.0672857	5086	445166	0.011425	12750	12750
V11_S12	cg25875213	9535	705761	0.0135102	23049	1921927	0.0119927	57552	57552
V11_S12	cg25884711	73146	2077425	0.0352099	76527	6321271	0.0121063	168515	168503
V11_S12	cg26121782	11949	351995	0.0339465	10421	787477	0.0132334	21603	21603
V11_S12	cg26682580	100844	3173362	0.0317783	100472	8674455	0.0115825	222979	222979
V11_S12	cg27200446	444004	2614102	0.16985	101488	7991869	0.0126989	206327	206327
V11_S12	cg27393010	10501	194466	0.0539992	9039	554325	0.0163063	15105	15105
V11_S12	cg27577527	2307	380248	0.00606709	16940	1408097	0.0120304	36824	36824
V12_S14	cg00002719	5019	325745	0.0154078	15993	1035310	0.0154475	30603	30603
V12_S14	cg00469207	5156	150146	0.0343399	5897	410490	0.0143658	10465	10465
V12_S14	cg00582524	15470	421124	0.036735	19802	1243541	0.0159239	34306	34306
V12_S14	cg00995986	7188	149959	0.0479331	11880	735102	0.016161	21194	21165
V12_S14	cg01163404	239049	279881	0.854109	25851	1450974	0.0178163	37995	37995
V12_S14	cg01419831	324467	2843064	0.114126	120989	8132724	0.0148768	225739	225739
V12_S14	cg01452847	13437	613551	0.0219004	22449	1281513	0.0175176	35944	35944
V12_S14	cg01576677	48688	1268137	0.0383933	42010	2776539	0.0151303	74905	74905
V12_S14	cg02467990	25788	1356048	0.019017	47908	3165089	0.0151364	84630	84630
V12_S14	cg02511231	622433	11956537	0.052058	461117	29745182	0.0155022	801763	801763
V12_S14	cg02571204	232133	247955	0.93619	20047	885651	0.0226353	26721	26721
V12_S14	cg02699898	269268	309692	0.86947	24978	1190215	0.0209861	28320	28320
V12_S14	cg02919936	423784	7952305	0.0532907	355155	21605555	0.0164381	581111	581104
V12_S14	cg03011535	258431	4481482	0.0576664	184520	11026949	0.0167335	305254	305254
V12_S14	cg03217795	15558	1475410	0.0105449	41734	3088064	0.0135146	79584	79584
V12_S14	cg03257575	99601	1111585	0.0896027	49282	3568884	0.0138088	81565	81565
V12_S14	cg03401096	98942	2881065	0.0343422	101890	6857701	0.0148577	185748	185748
V12_S14	cg03502002	12291	339105	0.0362454	10486	738770	0.0141939	19840	19840
V12_S14	cg03563667	11203	582456	0.0192341	19258	1329774	0.0144822	31573	31573
V12_S14	cg03735888	91266	1097616	0.0831493	57364	3733204	0.0153659	97909	97909
V12_S14	cg04123776	18233	745475	0.0244582	32382	2249896	0.0143927	56767	56767
V12_S14	cg04261408	7182	445407	0.0161246	17897	1230734	0.0145417	34016	34016
V12_S14	cg04281464	139769	1267214	0.110296	50158	3798193	0.0132058	99062	99062
V12_S14	cg04869380	141038	159721	0.883027	20500	1673562	0.0122493	35158	35101
V12_S14	cg04904331	16104	852050	0.0189003	29872	1982691	0.0150664	53057	53057
V12_S14	cg05057720	23522	603408	0.0389819	27145	1368745	0.019832	36463	36463
V12_S14	cg05166490	154414	4706730	0.0328071	131638	9541042	0.013797	260887	260887
V12_S14	cg05302386	57800	2624575	0.0220226	123884	7973109	0.0155377	203980	203980
V12_S14	cg05374412	86111	2802854	0.0307226	116461	8039193	0.0144867	198739	198739
V12_S14	cg05377226	16095	1214192	0.0132557	43347	3192306	0.0135786	80820	80820
V12_S14	cg05917460	123548	3594831	0.0343682	185705	11960556	0.0155265	311397	311267
V12_S14	cg06013113	295906	344080	0.859992	30399	1624292	0.0187152	38013	38013
V12_S14	cg06382344	129345	3381737	0.0382481	82460	5454085	0.0151189	155056	155056
V12_S14	cg06463958	322410	7948850	0.0405606	368713	24091156	0.0153049	638301	638299
