sample	probe_id	CpG_meth	CpG_total	CpG_frac	nonCpG_meth	nonCpG_total	nonCpG_frac	n_reads	n_reads_with_CpG
V10_S3	cg17774001	172	195	0.882051	6	1465	0.00409556	40	40
V10_S3	cg17812788	31	249	0.124498	0	554	0	17	17
V10_S3	cg17839237	221	313	0.70607	3	1013	0.0029615	25	25
V10_S3	cg17872757	783	1244	0.629421	27	3269	0.00825941	90	90
V10_S3	cg17969084	33	1715	0.019242	13	4943	0.00262998	148	148
V10_S3	cg18091469	16	183	0.0874317	2	682	0.00293255	22	22
V10_S3	cg18206027	1160	1391	0.833932	22	3086	0.00712897	72	72
V10_S3	cg18621142	267	339	0.787611	4	1737	0.00230282	46	46
V10_S3	cg18751958	431	480	0.897917	15	1871	0.0080171	33	33
V10_S3	cg18816098	0	366	0	1	1047	0.00095511	29	29
V10_S3	cg19497031	11957	21937	0.545061	230	39817	0.00577643	1053	1053
V10_S3	cg19807257	206	447	0.46085	2	1308	0.00152905	37	37
V10_S3	cg19882915	290	348	0.833333	5	1712	0.00292056	35	35
V10_S3	cg20072442	2474	3883	0.637136	27	11343	0.00238032	271	271
V10_S3	cg20079899	1369	2042	0.670421	16	5175	0.00309179	131	131
V10_S3	cg20183619	3545	5367	0.660518	73	16513	0.00442076	414	414
V10_S3	cg20295992	1097	2356	0.46562	24	7347	0.00326664	198	198
V10_S3	cg20449590	322	450	0.715556	4	1463	0.00273411	30	30
V10_S3	cg20690085	232	284	0.816901	6	1718	0.00349243	38	37
V10_S3	cg20872937	4455	5921	0.752407	115	15365	0.00748454	371	371
V10_S3	cg20980783	4329	5684	0.761612	63	12444	0.00506268	302	302
V10_S3	cg21038156	5720	7510	0.761651	88	16665	0.00528053	441	439
V10_S3	cg21039708	240	473	0.5074	12	1435	0.00836237	42	42
V10_S3	cg21185289	3456	5963	0.579574	73	15652	0.00466394	386	386
V10_S3	cg21277995	4684	6345	0.738219	79	12053	0.00655438	342	342
V10_S3	cg21790626	186	304	0.611842	5	908	0.00550661	23	23
V10_S3	cg21898844	244	300	0.813333	2	1735	0.00115274	41	41
V10_S3	cg21929943	975	1366	0.713763	7	3752	0.00186567	94	94
V10_S3	cg22231056	1	234	0.0042735	5	789	0.00633714	20	20
V10_S3	cg22399133	377	526	0.71673	4	1938	0.00206398	40	40
V10_S3	cg22868282	99	1365	0.0725275	9	3473	0.00259142	112	111
V10_S3	cg23026864	464	715	0.648951	5	1694	0.00295159	36	36
V10_S3	cg23164203	199	428	0.464953	5	1619	0.00308833	40	40
V10_S3	cg23871697	473	525	0.900952	8	2084	0.00383877	46	46
V10_S3	cg23912454	339	464	0.730603	19	1292	0.0147059	34	34
V10_S3	cg23960736	29	66	0.439394	0	1316	0	36	33
V10_S3	cg24221648	2067	2521	0.819913	63	5564	0.0113228	129	129
V10_S3	cg24292235	1274	1898	0.671233	19	5020	0.00378486	128	128
V10_S3	cg24416513	1	610	0.00163934	4	764	0.0052356	26	26
V10_S3	cg24507921	21	177	0.118644	1	1284	0.000778816	26	26
V10_S3	cg24632241	51	135	0.377778	0	349	0	10	10
V10_S3	cg24761507	5270	10383	0.50756	109	33305	0.00327278	913	907
V10_S3	cg24831879	210	299	0.702341	6	1605	0.00373832	33	33
V10_S3	cg25200152	185	334	0.553892	1	1310	0.000763359	33	33
V10_S3	cg25875213	543	964	0.563278	4	2788	0.00143472	82	82
V10_S3	cg25884711	2712	3765	0.720319	45	11275	0.00399113	288	285
V10_S3	cg26121782	506	720	0.702778	10	1569	0.00637349	40	40
V10_S3	cg26682580	3136	4513	0.694881	55	11527	0.00477141	271	271
V10_S3	cg27200446	1302	2723	0.478149	20	6847	0.00292099	199	199
V10_S3	cg27393010	141	243	0.580247	8	684	0.0116959	17	17
V10_S3	cg27577527	219	361	0.606648	2	1512	0.00132275	35	35
V21_S11	cg00002719	213	468	0.455128	26	1634	0.0159119	51	51
V21_S11	cg00469207	1131	2044	0.553327	76	5432	0.0139912	162	162
V21_S11	cg00582524	452	753	0.600266	20	2227	0.00898069	71	71
V21_S11	cg00995986	91	331	0.274924	39	2434	0.016023	75	67
V21_S11	cg01163404	337	491	0.686354	28	2373	0.0117994	77	77
V21_S11	cg01419831	1455	3952	0.368168	176	11016	0.0159768	363	363
V21_S11	cg01452847	14	586	0.0238908	15	1289	0.0116369	40	40
V21_S11	cg01576677	534	1667	0.320336	68	3473	0.0195796	111	111
V21_S11	cg02467990	541	971	0.557158	47	2158	0.0217794	75	75
V21_S11	cg02511231	5792	13422	0.43153	443	32041	0.013826	1035	1035
V21_S11	cg02571204	589	641	0.918877	36	2338	0.0153978	80	79
V21_S11	cg02699898	1387	1602	0.865793	165	6170	0.0267423	164	164
V21_S11	cg02919936	6516	12609	0.516774	477	33377	0.0142913	1013	1013
V21_S11	cg03011535	449	4443	0.101058	139	11134	0.0124843	355	355
V21_S11	cg03217795	190	2308	0.0823224	49	5186	0.00944852	169	169
V21_S11	cg03257575	285	1245	0.228916	38	3587	0.0105938	112	112
V21_S11	cg03401096	387	2761	0.140167	84	6452	0.0130192	233	233
V21_S11	cg03502002	655	1125	0.582222	46	2464	0.0186688	72	72
V21_S11	cg03563667	66	657	0.100457	14	1382	0.0101302	42	42
V21_S11	cg03735888	149	241	0.618257	10	808	0.0123762	26	26
V21_S11	cg04123776	329	1039	0.316651	42	3108	0.0135135	102	102
V21_S11	cg04261408	866	1292	0.670279	62	3016	0.020557	101	101
V21_S11	cg04281464	611	1577	0.387445	63	4918	0.0128101	150	150
V21_S11	cg04869380	268	362	0.740331	13	2969	0.00437858	73	72
V21_S11	cg04904331	1459	2840	0.513732	97	6214	0.0156099	190	190
V21_S11	cg05057720	797	1631	0.488657	45	3719	0.0121	115	115
V21_S11	cg05166490	2778	8428	0.329616	225	18134	0.0124076	586	586
V21_S11	cg05302386	204	3388	0.0602125	122	9849	0.012387	314	314
V21_S11	cg05374412	85	2288	0.0371503	109	6943	0.0156993	209	209
V21_S11	cg05377226	882	2137	0.412728	52	5198	0.0100038	173	173
V21_S11	cg05917460	381	2513	0.151612	124	8369	0.0148166	272	272
V21_S11	cg06013113	751	892	0.841928	72	4124	0.0174588	110	110
V21_S11	cg06382344	129	3203	0.0402747	61	5107	0.0119444	189	189
V21_S11	cg06463958	3888	10575	0.36766	411	29365	0.0139963	928	928
V21_S11	cg06530490	123	2191	0.0561387	71	5277	0.0134546	175	175
V21_S11	cg06590173	20	135	0.148148	16	1166	0.0137221	41	35
V21_S11	cg06825142	6562	10878	0.603236	363	27648	0.0131293	850	850
V21_S11	cg06962944	380	3603	0.105468	108	8914	0.0121158	293	293
V21_S11	cg07790615	1992	6066	0.328388	148	11810	0.0125318	393	393
V21_S11	cg07915921	306	789	0.387833	21	1865	0.0112601	57	57
V21_S11	cg08382226	237	1100	0.215455	36	3502	0.0102798	116	116
V21_S11	cg08548396	1359	2065	0.658111	93	5706	0.0162986	178	178
V21_S11	cg08566455	269	591	0.455161	15	1120	0.0133929	31	31
V21_S11	cg08862890	567	1394	0.406743	52	3984	0.0130522	126	126
V21_S11	cg08934785	13	401	0.032419	29	1939	0.0149562	61	61
V21_S11	cg09250933	548	1007	0.544191	34	3969	0.00856639	108	108
V21_S11	cg09493505	3411	6367	0.535731	215	13576	0.0158368	429	429
V21_S11	cg10143067	498	1684	0.295724	58	5265	0.0110161	176	176
V21_S11	cg10249375	178	1392	0.127874	53	4476	0.0118409	141	141
V21_S11	cg10512745	3980	16238	0.245104	726	47144	0.0153996	1656	1652
V21_S11	cg11014373	333	2024	0.164526	95	5506	0.0172539	198	198
V21_S11	cg11017065	1817	3390	0.535988	148	8762	0.0168911	283	283
V21_S11	cg11314310	1044	1215	0.859259	57	4027	0.0141545	136	136
V21_S11	cg11561737	102	2580	0.0395349	85	5980	0.014214	213	213
V21_S11	cg11601252	5298	17970	0.294825	683	48339	0.0141294	1583	1582
V21_S11	cg11660826	453	1166	0.388508	25	2687	0.00930406	96	96
V21_S11	cg11942956	475	983	0.483215	46	1892	0.0243129	58	58
V21_S11	cg11957331	898	3317	0.270727	94	6595	0.0142532	252	252
V21_S11	cg12042659	1404	2529	0.55516	117	8696	0.0134545	268	268
V21_S11	cg12074025	972	1505	0.645847	65	4275	0.0152047	131	131
V21_S11	cg12483476	3567	6722	0.530646	209	12272	0.0170306	376	376
V21_S11	cg12528056	925	1296	0.713735	28	3101	0.00902935	89	89
V21_S11	cg12928379	1968	3200	0.615	129	8262	0.0156137	249	249
V21_S11	cg12974388	1144	14560	0.0785714	531	43522	0.0122007	1441	1435
V21_S11	cg13314145	297	7062	0.0420561	160	13161	0.0121571	465	465
V21_S11	cg13592399	627	4337	0.14457	183	13990	0.0130808	435	435
V21_S11	cg13840308	738	860	0.85814	55	3518	0.0156339	106	106
V21_S11	cg13912117	12856	19918	0.645446	734	52919	0.0138703	1630	1629
V21_S11	cg13939859	362	975	0.371282	50	1714	0.0291715	64	64
V21_S11	cg13958426	321	602	0.533223	35	2065	0.0169492	74	74
V21_S11	cg14038391	485	1419	0.34179	59	3601	0.0163843	112	112
V21_S11	cg14050824	457	797	0.5734	39	2853	0.0136698	81	81
V21_S11	cg14123923	40	248	0.16129	5	375	0.0133333	16	16
V21_S11	cg14168530	2106	5514	0.381937	198	13368	0.0148115	459	459
V21_S11	cg14186641	460	6494	0.0708346	139	12836	0.0108289	457	456
V21_S11	cg14327531	55	215	0.255814	5	677	0.00738552	26	26
V21_S11	cg14394692	3879	5793	0.669601	189	14094	0.01341	425	424
V21_S11	cg14458834	3	337	0.00890208	3	792	0.00378788	19	19
V21_S11	cg14473102	12	1001	0.011988	14	1551	0.00902643	53	53
V21_S11	cg14489801	43	93	0.462366	2	564	0.0035461	16	16
V21_S11	cg14712186	1393	4208	0.331036	113	7553	0.0149609	271	271
V21_S11	cg14743594	4415	6653	0.66361	205	13634	0.0150359	428	428
V21_S11	cg14861089	611	1184	0.516047	48	2367	0.0202788	76	76
V21_S11	cg15044248	1824	3286	0.555082	137	9188	0.0149108	264	264
V21_S11	cg15267232	352	902	0.390244	43	1967	0.0218607	60	60
V21_S11	cg15467646	1328	2298	0.577894	96	5902	0.0162657	183	183
V21_S11	cg15576900	244	2617	0.0932365	89	6472	0.0137515	219	219
V21_S11	cg15778437	533	1907	0.279497	66	5531	0.0119327	173	173
V21_S11	cg15836635	2683	5693	0.471281	268	18092	0.0148132	557	557
V21_S11	cg15994026	240	1785	0.134454	41	5046	0.00812525	158	158
V21_S11	cg16150752	1387	2645	0.524386	73	5092	0.0143362	157	157
V21_S11	cg16328106	648	1043	0.621285	38	3131	0.0121367	96	96
V21_S11	cg16732616	683	1370	0.49854	55	2272	0.0242077	71	71
V21_S11	cg16779463	618	1277	0.483947	46	3722	0.0123589	104	104
V21_S11	cg16926316	415	589	0.704584	18	2383	0.0075535	68	68
V21_S11	cg17031478	21	773	0.0271669	35	2073	0.0168837	62	62
V21_S11	cg17712694	1283	2480	0.517339	62	4678	0.0132535	147	147
V21_S11	cg17774001	395	465	0.849462	45	3298	0.0136446	104	104
V21_S11	cg17812788	14	654	0.0214067	14	1435	0.0097561	47	47
V21_S11	cg17839237	33	462	0.0714286	16	1378	0.011611	46	46
V21_S11	cg17872757	1779	3139	0.566741	129	7883	0.0163643	253	253
V21_S11	cg17969084	22	2161	0.0101805	78	7039	0.0110811	241	241
V21_S11	cg18091469	16	168	0.0952381	19	637	0.0298273	21	21
V21_S11	cg18206027	1841	3337	0.551693	120	7126	0.0168397	226	226
V21_S11	cg18621142	317	468	0.67735	31	2019	0.0153541	69	69
V21_S11	cg18751958	855	1000	0.855	66	3416	0.0193208	91	91
V21_S11	cg18816098	3	563	0.0053286	26	1619	0.0160593	55	55
V21_S11	cg19497031	906	10339	0.0876294	230	18723	0.0122844	688	688
V21_S11	cg19807257	77	299	0.257525	8	818	0.00977995	26	26
V21_S11	cg19882915	790	1121	0.704728	47	5067	0.00927571	138	138
V21_S11	cg20072442	288	1492	0.193029	62	4283	0.0144758	136	136
V21_S11	cg20079899	2942	4901	0.600286	196	12045	0.0162723	382	382
V21_S11	cg20183619	2500	7547	0.331257	279	21757	0.0128235	686	685
V21_S11	cg20295992	1599	5992	0.266856	227	18138	0.0125152	613	612
V21_S11	cg20449590	511	1085	0.470968	44	2704	0.0162722	96	96
V21_S11	cg20690085	244	270	0.903704	32	1466	0.0218281	43	43
V21_S11	cg20872937	5247	9155	0.573129	341	23739	0.0143645	714	714
V21_S11	cg20980783	4413	10166	0.434094	348	23386	0.0148807	733	733
V21_S11	cg21038156	5541	9168	0.604385	257	19170	0.0134064	632	632
V21_S11	cg21039708	116	462	0.251082	28	1357	0.0206338	44	44
V21_S11	cg21185289	2546	8764	0.290507	371	23170	0.0160121	750	750
V21_S11	cg21277995	5704	10760	0.530112	333	20199	0.016486	704	704
V21_S11	cg21790626	583	906	0.643488	30	2379	0.0126103	73	73
V21_S11	cg21898844	492	599	0.821369	36	3194	0.0112711	97	97
V21_S11	cg21929943	1249	2267	0.550948	85	6299	0.0134942	186	186
V21_S11	cg22231056	6	235	0.0255319	13	708	0.0183616	24	24
V21_S11	cg22399133	222	384	0.578125	19	1200	0.0158333	34	34
V21_S11	cg22868282	85	2445	0.0347648	88	6308	0.0139505	228	228
V21_S11	cg23026864	218	820	0.265854	24	1752	0.0136986	53	53
V21_S11	cg23164203	278	996	0.279116	50	3747	0.013344	114	114
V21_S11	cg23871697	1150	1294	0.888717	68	5081	0.0133832	122	122
V21_S11	cg23912454	389	998	0.38978	40	2904	0.0137741	83	83
V21_S11	cg23960736	42	84	0.5	28	2104	0.013308	69	61
V21_S11	cg24221648	1332	2126	0.626529	82	4392	0.0186703	125	125
V21_S11	cg24292235	1023	1981	0.516406	89	4941	0.0180125	156	156
V21_S11	cg24416513	25	1030	0.0242718	8	1146	0.0069808	44	44
V21_S11	cg24507921	10	286	0.034965	18	1956	0.00920245	55	55
V21_S11	cg24632241	536	3053	0.175565	98	8605	0.0113887	271	271
V21_S11	cg24761507	5252	19868	0.264345	810	61658	0.013137	2057	2049
V21_S11	cg24831879	379	559	0.677996	21	2840	0.00739437	69	69
V21_S11	cg25200152	213	519	0.410405	28	1730	0.016185	56	56
V21_S11	cg25875213	499	1918	0.260167	79	5597	0.0141147	196	196
V21_S11	cg25884711	3277	5940	0.551684	213	17576	0.0121188	530	530
V21_S11	cg26121782	149	939	0.158679	30	1803	0.0166389	61	61
V21_S11	cg26682580	3284	6594	0.498029	225	15934	0.0141207	484	484
V21_S11	cg27200446	2108	4838	0.435717	176	13040	0.0134969	432	432
V21_S11	cg27393010	693	1244	0.557074	82	3274	0.0250458	103	103
V21_S11	cg27577527	44	240	0.183333	4	776	0.00515464	24	24
V21_S12	cg00002719	9	303	0.029703	7	1050	0.00666667	32	32
V21_S12	cg00469207	45	724	0.0621547	24	2229	0.0107672	62	62
V21_S12	cg00582524	38	604	0.0629139	12	2037	0.00589102	56	56
V21_S12	cg00995986	11	162	0.0679012	13	1161	0.0111972	37	34
V21_S12	cg01163404	572	633	0.903633	53	3328	0.0159255	89	89
V21_S12	cg01419831	322	2093	0.153846	76	6640	0.0114458	200	200
V21_S12	cg01452847	8	508	0.015748	6	1268	0.00473186	33	33
V21_S12	cg01576677	40	1038	0.0385356	41	2425	0.0169072	72	72
V21_S12	cg02467990	10	352	0.0284091	7	793	0.00882724	23	23
V21_S12	cg02511231	589	8210	0.0717418	301	20748	0.0145074	640	640
V21_S12	cg02571204	431	455	0.947253	39	1816	0.0214758	57	56
V21_S12	cg02699898	830	940	0.882979	68	3905	0.0174136	95	95
V21_S12	cg02919936	450	5015	0.0897308	167	14245	0.0117234	397	397
V21_S12	cg03011535	275	3014	0.0912409	92	8188	0.011236	234	234
V21_S12	cg03217795	10	724	0.0138122	10	1577	0.00634115	51	51
V21_S12	cg03257575	83	546	0.152015	25	1652	0.0151332	48	48
V21_S12	cg03401096	97	1708	0.0567916	55	4002	0.0137431	137	137
V21_S12	cg03502002	11	230	0.0478261	3	483	0.00621118	13	13
V21_S12	cg03563667	6	412	0.0145631	6	1000	0.006	22	22
V21_S12	cg03735888	118	730	0.161644	27	2489	0.0108477	72	72
V21_S12	cg04123776	46	647	0.0710974	33	2178	0.0151515	64	64
V21_S12	cg04261408	13	343	0.0379009	9	816	0.0110294	26	26
V21_S12	cg04281464	290	1127	0.25732	32	3562	0.00898372	102	102
V21_S12	cg04869380	309	339	0.911504	19	2901	0.00654947	63	63
V21_S12	cg04904331	95	1690	0.056213	50	3960	0.0126263	122	122
V21_S12	cg05057720	31	639	0.0485133	23	1460	0.0157534	41	41
V21_S12	cg05166490	200	3111	0.064288	70	7031	0.00995591	217	217
V21_S12	cg05302386	94	1946	0.0483042	95	6417	0.0148044	180	180
V21_S12	cg05374412	61	1523	0.0400525	51	4766	0.0107008	126	126
V21_S12	cg05377226	15	754	0.0198939	17	1879	0.00904737	58	58
V21_S12	cg05917460	79	2113	0.0373876	117	7555	0.0154864	209	209
V21_S12	cg06013113	540	609	0.8867	56	2678	0.0209111	66	66
V21_S12	cg06382344	175	1801	0.0971682	32	3129	0.0102269	99	99
V21_S12	cg06463958	327	5309	0.0615935	199	16391	0.0121408	477	477
V21_S12	cg06530490	47	1384	0.0339595	47	3432	0.0136946	103	103
V21_S12	cg06590173	2	73	0.0273973	7	905	0.00773481	25	18
V21_S12	cg06825142	1479	5820	0.254124	197	16381	0.0120261	494	493
V21_S12	cg06962944	55	683	0.0805271	20	2114	0.00946074	56	56
V21_S12	cg07790615	168	3409	0.0492813	69	7193	0.00959266	228	228
V21_S12	cg07915921	57	396	0.143939	7	980	0.00714286	27	27
V21_S12	cg08382226	131	2095	0.0625298	96	7211	0.013313	220	219
V21_S12	cg08548396	634	1596	0.397243	80	4441	0.018014	129	129
V21_S12	cg08566455	24	270	0.0888889	1	495	0.0020202	12	12
V21_S12	cg08862890	20	462	0.04329	13	1495	0.00869565	43	43
V21_S12	cg08934785	12	467	0.0256959	22	2211	0.00995025	65	65
V21_S12	cg09250933	39	478	0.08159	18	2051	0.00877621	54	54
V21_S12	cg09493505	80	2644	0.0302572	84	6241	0.0134594	191	191
V21_S12	cg10143067	71	1284	0.055296	37	4058	0.00911779	130	130
V21_S12	cg10249375	74	1173	0.0630861	53	3919	0.0135239	114	114
V21_S12	cg10512745	990	10786	0.0917856	424	34161	0.0124118	1133	1132
V21_S12	cg11014373	32	872	0.0366972	47	2786	0.0168701	89	89
V21_S12	cg11017065	70	1039	0.0673725	40	2820	0.0141844	85	85
V21_S12	cg11314310	924	991	0.932392	59	3375	0.0174815	104	104
V21_S12	cg11561737	146	2276	0.0641476	82	5328	0.0153904	179	179
V21_S12	cg11601252	987	11852	0.0832771	400	33665	0.0118818	1040	1040
V21_S12	cg11660826	25	386	0.0647668	14	1405	0.00996441	41	41
V21_S12	cg11942956	30	301	0.0996678	17	704	0.0241477	19	19
V21_S12	cg11957331	331	2342	0.141332	89	5874	0.0151515	173	173
V21_S12	cg12042659	73	358	0.203911	12	1240	0.00967742	36	36
V21_S12	cg12074025	5	600	0.00833333	23	2056	0.0111868	63	63
V21_S12	cg12483476	413	2211	0.186793	60	4993	0.0120168	145	145
V21_S12	cg12528056	1096	1205	0.909544	26	2894	0.00898411	81	81
V21_S12	cg12928379	239	905	0.264088	32	2641	0.0121166	81	80
V21_S12	cg12974388	921	11043	0.0834012	377	34849	0.0108181	1061	1057
V21_S12	cg13314145	375	4520	0.0829646	90	9625	0.00935065	274	274
V21_S12	cg13592399	84	2668	0.0314843	106	9343	0.0113454	259	259
V21_S12	cg13840308	975	1060	0.919811	80	4214	0.0189843	117	117
V21_S12	cg13912117	331	5016	0.0659888	172	13646	0.0126044	387	387
V21_S12	cg13939859	22	490	0.044898	5	1060	0.00471698	33	33
V21_S12	cg13958426	0	56	0	4	222	0.018018	7	7
V21_S12	cg14038391	69	979	0.0704801	26	2878	0.00903405	78	78
V21_S12	cg14050824	741	847	0.874852	30	3153	0.00951475	79	79
V21_S12	cg14123923	6	334	0.0179641	16	720	0.0222222	25	25
V21_S12	cg14168530	299	3221	0.0928283	77	8214	0.00937424	267	267
V21_S12	cg14186641	101	3904	0.0258709	89	8186	0.0108722	266	266
V21_S12	cg14327531	13	193	0.0673575	15	687	0.0218341	26	26
V21_S12	cg14394692	2307	3864	0.59705	159	10965	0.0145007	300	300
V21_S12	cg14458834	3	216	0.0138889	5	545	0.00917431	14	14
V21_S12	cg14473102	11	442	0.0248869	5	679	0.00736377	20	20
V21_S12	cg14489801	10	54	0.185185	7	301	0.0232558	10	10
