sample	cg00002719	cg00469207	cg00582524	cg00995986	cg01163404	cg01419831	cg01452847	cg01576677	cg02467990	cg02511231	cg02571204	cg02699898	cg02919936	cg03011535	cg03217795	cg03257575	cg03401096	cg03502002	cg03563667	cg03735888	cg04123776	cg04261408	cg04281464	cg04869380	cg04904331	cg05057720	cg05166490	cg05302386	cg05374412	cg05377226	cg05917460	cg06013113	cg06382344	cg06463958	cg06530490	cg06590173	cg06825142	cg06962944	cg07790615	cg07915921	cg08382226	cg08548396	cg08566455	cg08862890	cg08934785	cg09250933	cg09493505	cg10143067	cg10249375	cg10512745	cg11014373	cg11017065	cg11314310	cg11561737	cg11601252	cg11660826	cg11942956	cg11957331	cg12042659	cg12074025	cg12483476	cg12528056	cg12928379	cg12974388	cg13314145	cg13592399	cg13840308	cg13912117	cg13939859	cg13958426	cg14038391	cg14050824	cg14123923	cg14168530	cg14186641	cg14327531	cg14394692	cg14458834	cg14473102	cg14489801	cg14712186	cg14743594	cg14861089	cg15044248	cg15267232	cg15467646	cg15576900	cg15778437	cg15836635	cg15994026	cg16150752	cg16328106	cg16732616	cg16779463	cg16926316	cg17031478	cg17712694	cg17774001	cg17812788	cg17839237	cg17872757	cg17969084	cg18091469	cg18206027	cg18621142	cg18751958	cg18816098	cg19497031	cg19807257	cg19882915	cg20072442	cg20079899	cg20183619	cg20295992	cg20449590	cg20690085	cg20872937	cg20980783	cg21038156	cg21039708	cg21185289	cg21277995	cg21790626	cg21898844	cg21929943	cg22231056	cg22399133	cg22868282	cg23026864	cg23164203	cg23871697	cg23912454	cg23960736	cg24221648	cg24292235	cg24416513	cg24507921	cg24632241	cg24761507	cg24831879	cg25200152	cg25875213	cg25884711	cg26121782	cg26682580	cg27200446	cg27393010	cg27577527
V19_S12	0.0118638	0.0487657	0.0457467	0.10494	0.858246	0.157493	0.0272358	0.0459036	0.022459	0.0698011	0.937671	0.884312	0.0704765	0.0641841	0.0192893	0.11228	0.0481189	0.0290661	0.0194711	0.108494	0.0342588	0.0216881	0.172684	0.902147	0.0220116	0.0453469	0.0524423	0.0294381	0.0548383	0.0310659	0.043351	0.89536	0.0628697	0.0482914	0.0303583	0.0956109	0.224579	0.0642745	0.0378874	0.0852595	0.0544198	0.33099	0.11331	0.018522	0.0345902	0.0877571	0.0217639	0.0578567	0.0430474	0.0766006	0.0585504	0.0154764	0.90436	0.0600062	0.0774168	0.025642	0.0558724	0.144968	0.109132	0.012783	0.118638	0.827903	0.227291	0.0734925	0.0610735	0.024394	0.921751	0.0418643	0.0456975	0.0108791	0.0474839	0.861645	0.0425347	0.070013	0.0283317	0.0299361	0.506943	0.0167006	0.0299919	0.12886	0.0460601	0.391669	0.0301998	0.0127087	0.051026	0.234774	0.0319827	0.0567744	0.0422468	0.0127775	0.0849183	0.0216397	0.0587745	0.0127349	0.906623	0.03462	0.0857877	0.877268	0.0212038	0.0186039	0.0151841	0.0187659	0.0680185	0.0219929	0.883089	0.886599	0.0263876	0.0500759	0.114143	0.919022	0.0364142	0.0380018	0.046715	0.0536413	0.0880169	0.918392	0.0384817	0.0371489	0.0486676	0.0750655	0.0663088	0.0382772	0.0555063	0.908567	0.0494864	0.0178712	0.0227256	0.0325806	0.0696049	0.00758644	0.926649	0.00890185	0.661883	0.0412753	0.0127202	0.0585504	0.00692494	0.0356211	0.0688017	0.916326	0.0484492	0.0154486	0.0485779	0.0547635	0.0477206	0.239911	0.094997	0.00772086
V19_S2	0.676983	0.626602	0.659128	0.622159	0.505646	0.658852	0.37266	0.603249	0.63569	0.67026	0.921843	0.90594	0.673195	0.649769	0.659798	0.524128	0.661669	0.70015	0.642514	0.721384	0.532091	0.735049	0.583592	0.451312	0.635935	0.729545	0.741465	0.686454	0.570576	0.690439	0.574695	0.789841	0.680019	0.571472	0.393717	0.0251796	0.665026	0.651918	0.659429	0.615223	0.509093	0.638136	0.724384	0.569697	0.483173	0.585039	0.635037	0.565139	0.539312	0.574088	0.561019	0.642365	0.895628	0.364728	0.57009	0.703023	0.697619	0.556921	0.723623	0.725342	0.635891	0.646866	0.664839	0.501913	0.623779	0.678253	0.824296	0.655093	0.5684	0.673018	0.640916	0.448725	0.609883	0.633828	0.610776	0.578223	0.737858	0.788834	0.427918	0.536248	0.571497	0.726159	0.658169	0.605589	0.683867	0.669595	0.602028	0.624879	0.56008	0.600728	0.616242	0.726736	0.677892	0.604504	0.640207	0.0118328	0.610141	0.892564	0.41393	0.657972	0.64292	0.0703825	0.0726063	0.635871	0.781261	0.885292	0.0134212	0.609114	0.522889	0.87909	0.532905	0.697931	0.485811	0.509749	0.722401	0.719422	0.662662	0.739938	0.623513	0.650432	0.524721	0.68201	0.774178	0.8472	0.626507	0.00740282	0.702902	0.580381	0.535697	0.522935	0.87401	0.527455	0.262934	0.632442	0.558471	0.435147	0.0441617	0.530764	0.482906	0.722997	0.696931	0.37633	0.660942	0.68003	0.622517	0.452251	0.669167	0.522024
V19_S3	0.0160392	0.0476195	0.0453539	0.0892021	0.850758	0.128606	0.0279313	0.043135	0.0241889	0.0681123	0.921814	0.899638	0.0646084	0.0609583	0.0159226	0.0997013	0.0470559	0.030752	0.0204434	0.0848684	0.0290518	0.0319208	0.180732	0.901039	0.0244925	0.0489475	0.0523957	0.0249068	0.047457	0.0213822	0.0435039	0.878555	0.0668893	0.0518322	0.033025	0.050919	0.328995	0.0612487	0.0440613	0.088339	0.0579485	0.471689	0.111377	0.0201086	0.0486952	0.067147	0.0240765	0.0545389	0.0391404	0.0816622	0.0541776	0.014505	0.85959	0.05744	0.0768552	0.0241228	0.0573772	0.13862	0.0871116	0.011996	0.114822	0.836732	0.328488	0.0762624	0.0663192	0.0310744	0.902543	0.0447366	0.0441796	0.0141234	0.0478651	0.848685	0.0359326	0.0644795	0.0303985	0.0199959	0.6126	0.0445899	0.0449892	0.151762	0.0437001	0.42661	0.0291332	0.0166871	0.0545267	0.241553	0.0290306	0.0651955	0.0444834	0.00984785	0.0939845	0.016289	0.0442357	0.015081	0.899859	0.024941	0.0934637	0.872315	0.0151939	0.0145528	0.0130011	0.0192296	0.0931575	0.0239831	0.863022	0.881987	0.0158893	0.0385241	0.103338	0.928419	0.0437435	0.0400587	0.0476213	0.0570363	0.160931	0.885848	0.0419155	0.0308651	0.0435108	0.0726163	0.0708976	0.0341433	0.0353792	0.891626	0.0471534	0.0129857	0.0257275	0.0344232	0.060162	0.011218	0.913056	0.0105855	0.663793	0.042482	0.0132043	0.061121	0.00751732	0.0446402	0.0677071	0.906749	0.0361522	0.0142646	0.0423628	0.0375806	0.0479114	0.264292	0.0851711	0.0105107
V19_S5	0.0502296	0.117847	0.0753948	0.134312	0.842001	0.135122	0.0699603	0.0627591	0.0679621	0.0812036	0.925356	0.857652	0.0845763	0.110995	0.0884693	0.125307	0.0646905	0.0542537	0.0457114	0.159716	0.0447533	0.0480996	0.164043	0.89475	0.0687907	0.082467	0.0774202	0.056948	0.0664246	0.0820959	0.0634446	0.882322	0.093982	0.071925	0.0578348	0.089464	0.287668	0.109349	0.068943	0.101406	0.0778447	0.358227	0.127651	0.0536167	0.090016	0.0928978	0.0679158	0.0545776	0.0614566	0.0919777	0.0657354	0.0403301	0.904362	0.0710919	0.0858746	0.0838223	0.153596	0.14518	0.161614	0.0436511	0.129836	0.839323	0.291033	0.0957349	0.0970881	0.061441	0.893921	0.0645719	0.0598713	0.0487286	0.0634089	0.82535	0.0478904	0.0905712	0.0481919	0.0392615	0.556445	0.115467	0.0502025	0.137317	0.0590471	0.374929	0.079636	0.0482353	0.0933468	0.245823	0.072696	0.0687062	0.0583689	0.0148936	0.120689	0.0273577	0.0675229	0.048317	0.891761	0.0352922	0.12027	0.856585	0.0452061	0.0816636	0.040679	0.0758965	0.104548	0.0666063	0.841975	0.88536	0.0169527	0.0562981	0.119458	0.917541	0.0596101	0.0592291	0.0775065	0.0760999	0.113596	0.904197	0.0696759	0.0634375	0.0887065	0.0726557	0.0972684	0.0650681	0.0688296	0.894837	0.119431	0.014754	0.0619791	0.0593281	0.0650438	0.0222353	0.916619	0.0294158	0.664899	0.0631931	0.0545402	0.0785667	0.0174173	0.0597143	0.0869141	0.903934	0.0661996	0.0376488	0.0853454	0.0706423	0.0764299	0.231724	0.100478	0.0227137
V19_S6	0.0127012	0.0479581	0.0532888	0.07813	0.859556	0.134619	0.0326535	0.0509398	0.0313701	0.0685795	0.924135	0.876676	0.0590225	0.0656063	0.0120192	0.107418	0.0480647	0.0416758	0.021424	0.0995728	0.0347443	0.0213849	0.172617	0.87181	0.030163	0.0472034	0.0428895	0.0241011	0.0446406	0.0191153	0.0490746	0.86587	0.0603347	0.051472	0.0298835	0.0822083	0.295988	0.0649342	0.0423769	0.10592	0.0513264	0.313317	0.155017	0.0147471	0.0479483	0.0852172	0.0307977	0.0559018	0.0443004	0.0769954	0.0515581	0.0137794	0.86883	0.0562862	0.078622	0.0233763	0.0510373	0.14768	0.0987595	0.00737581	0.141938	0.868693	0.293793	0.08147	0.0705452	0.0259126	0.897402	0.0447711	0.0422565	0.0119738	0.0524221	0.850528	0.0327067	0.0630757	0.0272065	0.0133195	0.624143	0.0128432	0.0308679	0.117313	0.0421022	0.478758	0.0361057	0.011177	0.0338757	0.22749	0.0256153	0.0610381	0.0451977	0.0082191	0.0810575	0.0106325	0.0438912	0.0108948	0.889635	0.0331783	0.0824058	0.887874	0.0162885	0.0115001	0.011098	0.0131945	0.0766346	0.029664	0.861694	0.871532	0.0219145	0.0319263	0.109148	0.911308	0.0484796	0.0290229	0.0455102	0.0514106	0.0947586	0.898178	0.0552689	0.0305788	0.042153	0.0748508	0.069664	0.0264555	0.0253477	0.899326	0.0466246	0.0160087	0.0180707	0.0335388	0.055073	0.00770585	0.912577	0.0184334	0.694797	0.03271	0.0100828	0.0380309	0.0118716	0.0492595	0.0682629	0.903956	0.0321602	0.0172635	0.0376231	0.0517344	0.0517799	0.288291	0.0933864	0.00720456
V19_S7	0.087963	0.182383	0.123095	0.365733	0.803928	0.278248	0.210374	0.0571687	0.227139	0.189618	0.931041	0.883088	0.226514	0.170126	0.186694	0.221178	0.15676	0.091053	0.012446	0.416989	0.1038	0.0199963	0.225729	0.875314	0.226952	0.190054	0.141997	0.0831726	0.146784	0.27218	0.152808	0.859979	0.277258	0.105984	0.115581	0.337365	0.486731	0.170361	0.192924	0.263264	0.157806	0.399636	0.383119	0.252892	0.268996	0.282228	0.226219	0.152703	0.162168	0.135912	0.200937	0.0745238	0.864362	0.233232	0.173358	0.230271	0.355059	0.248764	0.424098	0.34152	0.288156	0.757942	0.488853	0.197526	0.260654	0.0790128	0.89763	0.165851	0.134355	0.0874741	0.208064	0.800233	0.196535	0.244176	0.0881637	0.138353	0.591571	0.520138	0.200752	0.204214	0.135057	0.469617	0.19245	0.103354	0.269001	0.329927	0.129844	0.177784	0.131825	0.124199	0.269817	0.0146708	0.175634	0.104015	0.891487	0.026953	0.268626	0.880366	0.0557492	0.246557	0.07574	0.198661	0.370631	0.227916	0.84737	0.871228	0.0149131	0.15973	0.233216	0.909058	0.15475	0.0357014	0.132188	0.157743	0.313666	0.846477	0.0883456	0.213522	0.071527	0.143798	0.22351	0.243646	0.367107	0.869027	0.184338	0.0124795	0.323666	0.187229	0.074123	0.112154	0.902776	0.0138637	0.636762	0.221978	0.0380184	0.263364	0.0269041	0.154265	0.197551	0.858922	0.289205	0.25326	0.20295	0.0387034	0.190591	0.269182	0.206617	0.110641
V19_S9	0.01492	0.0494304	0.03769	0.0866567	0.862248	0.132353	0.0291107	0.0425853	0.0234087	0.0748762	0.932479	0.864489	0.0670268	0.0724031	0.0183885	0.113734	0.0465681	0.0371734	0.013655	0.12792	0.0315756	0.0235704	0.147178	0.898952	0.0231706	0.0396501	0.0495928	0.0266455	0.0376302	0.0256485	0.0425822	0.86606	0.0661961	0.0496457	0.0351151	0.116079	0.25732	0.0725849	0.0412595	0.0924467	0.0540787	0.333517	0.107948	0.0200095	0.0359678	0.0900036	0.0228525	0.0571354	0.0455015	0.0757608	0.0554014	0.0126487	0.901799	0.0628244	0.0772423	0.0315821	0.0306348	0.150512	0.127081	0.0133485	0.138261	0.875995	0.257583	0.0788319	0.0697821	0.0245617	0.907814	0.0381818	0.0431694	0.0145072	0.0560878	0.849418	0.0399084	0.0700874	0.025834	0.0216781	0.587251	0.0157738	0.0382368	0.0877554	0.0425035	0.455517	0.0295603	0.0112486	0.0442894	0.235958	0.0340206	0.0730487	0.0431201	0.0102934	0.0918019	0.0185942	0.0365622	0.0111602	0.87347	0.025899	0.0911007	0.867694	0.0146002	0.0113904	0.0130721	0.014824	0.106389	0.0233358	0.857008	0.885646	0.0182	0.0438212	0.117407	0.912535	0.0370334	0.0302705	0.0426406	0.0549651	0.100857	0.888834	0.0503073	0.0368949	0.0521198	0.0775687	0.0744921	0.0371457	0.0816575	0.901622	0.0507982	0.0181215	0.0374064	0.0386714	0.0643655	0.00599289	0.916252	0.0092786	0.608969	0.0258347	0.0166586	0.0612011	0.00867046	0.037312	0.0774575	0.91181	0.0429194	0.0168186	0.0461011	0.0387454	0.0476493	0.24536	0.0907741	0.00597703
V20_S1	0.0313703	0.111558	0.107421	0.126874	0.867476	0.178954	0.0973401	0.0896578	0.116	0.108823	0.921415	0.893571	0.128044	0.148203	0.140134	0.144986	0.113109	0.073772	0.0434771	0.249945	0.0656169	0.1113	0.211159	0.907476	0.116345	0.0968678	0.0692549	0.1001	0.074055	0.109238	0.0802489	0.882178	0.13853	0.127082	0.117025	0.0485407	0.325989	0.149727	0.092216	0.144183	0.0803915	0.321864	0.177878	0.0976848	0.088363	0.121647	0.117379	0.0736659	0.0608524	0.108823	0.109997	0.0952832	0.906986	0.11188	0.0941373	0.137821	0.181612	0.177767	0.250972	0.178063	0.174506	0.884353	0.323313	0.0950757	0.104205	0.100642	0.895894	0.112554	0.058252	0.0292341	0.0892779	0.858838	0.0469736	0.109598	0.0802679	0.0941655	0.609315	0.0165804	0.0629238	0.147894	0.0573205	0.460455	0.0596496	0.0817751	0.120046	0.306627	0.0911945	0.0804338	0.0788074	0.0315514	0.15646	0.150754	0.0959083	0.0865178	0.912688	0.0246152	0.157524	0.88944	0.0133986	0.111088	0.0969757	0.0130827	0.0364658	0.116872	0.860027	0.879125	0.023097	0.0496426	0.147707	0.913328	0.0725894	0.100593	0.0883476	0.082003	0.282984	0.909844	0.0633083	0.104297	0.0918882	0.110383	0.100528	0.0949545	0.152028	0.894745	0.115712	0.00926622	0.0812107	0.0649799	0.117083	0.00609684	0.918997	0.0381074	0.677553	0.0463792	0.0515701	0.174567	0.0221406	0.0669623	0.105874	0.922022	0.0724136	0.0904468	0.14426	0.116715	0.0941728	0.25674	0.110165	0.00635637
V20_S10	0.0296068	0.0679623	0.0302542	0.593289	0.819692	0.138149	0.0473546	0.0608537	0.0280835	0.0740498	0.92565	0.912969	0.114852	0.0684386	0.031827	0.188347	0.0557849	0.0301884	0.0144024	0.139297	0.037938	0.0103953	0.13899	0.896285	0.0288663	0.0776864	0.063884	0.0411533	0.0418614	0.07205	0.0525718	0.883887	0.11959	0.0404115	0.100848	0.626355	0.402385	0.06768	0.0352447	0.0798824	0.0852614	0.404863	0.0796966	0.0564398	0.0838442	0.271487	0.0275597	0.0673919	0.0587992	0.0741004	0.0675679	0.0254881	0.902791	0.0822378	0.0860782	0.0860468	0.043276	0.16701	0.13995	0.0286242	0.107652	0.65533	0.400923	0.0754877	0.0647377	0.0303139	0.890143	0.0331638	0.061518	0.0281651	0.0638333	0.8059	0.0590823	0.0741013	0.0389729	0.0476685	0.597304	0.0302671	0.0591336	0.161397	0.0617237	0.475757	0.0331813	0.0204503	0.0857006	0.257921	0.0808981	0.0855708	0.0424189	0.0742728	0.0931836	0.0267414	0.0470213	0.022056	0.894663	0.0390467	0.093674	0.888154	0.042914	0.0189478	0.0247207	0.0467844	0.329841	0.0279352	0.63346	0.885665	0.00947087	0.0512689	0.180308	0.919803	0.0320653	0.0455625	0.051462	0.0850393	0.190945	0.717247	0.0411318	0.0520327	0.0563704	0.0738276	0.0992828	0.0869361	0.0442705	0.828353	0.0675565	0.0210016	0.098944	0.0198075	0.0451507	0.0179014	0.926582	0.00720917	0.558839	0.0218007	0.0461555	0.0614097	0.0216685	0.0322383	0.0884714	0.812648	0.128705	0.0251607	0.0506388	0.0377396	0.0406486	0.178245	0.110177	0.0187089
V20_S11	0.011248	0.0454831	0.053279	0.0904021	0.869313	0.112939	0.0273129	0.0460714	0.0214233	0.062613	0.92033	0.891786	0.0570655	0.0701829	0.00827769	0.110158	0.0408461	0.025365	0.0187276	0.11175	0.0308151	0.00644161	0.156247	0.906473	0.0221626	0.0443054	0.0489599	0.0283607	0.0373096	0.0206486	0.0423575	0.875101	0.0608198	0.0417968	0.0331836	0.0807533	0.260463	0.0716046	0.0403337	0.100328	0.0476567	0.339213	0.0887647	0.015786	0.0434856	0.0861746	0.021966	0.0469603	0.0373633	0.074739	0.0555016	0.0094853	0.867342	0.0541827	0.0778629	0.0229534	0.0267613	0.124707	0.106311	0.00687038	0.117097	0.870206	0.260856	0.0796417	0.0677603	0.0220612	0.910265	0.0429365	0.0446214	0.0115282	0.056329	0.826375	0.0319798	0.0629875	0.0220029	0.0273116	0.590148	0.0134259	0.0270414	0.0899621	0.044484	0.453406	0.0270339	0.00872366	0.023911	0.229218	0.0204755	0.0594426	0.0400284	0.00853642	0.0917132	0.00426899	0.0497359	0.00841788	0.899573	0.0255487	0.0909722	0.875092	0.0178686	0.0117256	0.00849894	0.0127262	0.144999	0.0215721	0.849792	0.870668	0.0172049	0.0381342	0.112251	0.914133	0.0374434	0.0277173	0.0419005	0.047933	0.184989	0.912539	0.0467798	0.0293988	0.0526232	0.101657	0.0662711	0.0296661	0.0666836	0.899481	0.0441301	0.0172375	0.0255335	0.0310821	0.0738633	0.00722315	0.923174	0.0100386	0.661752	0.0200162	0.0124303	0.0430478	0.00990617	0.038302	0.0709964	0.928001	0.0181202	0.0126597	0.048195	0.0241034	0.0456349	0.221634	0.0801313	0.00696133
V20_S12	0.0231585	0.0684785	0.0708759	0.13278	0.879046	0.163889	0.0355985	0.0462139	0.0352611	0.0844521	0.948399	0.916234	0.0927924	0.0863991	0.0280777	0.120542	0.0709547	0.0410254	0.0159316	0.109748	0.049452	0.0214742	0.20385	0.905736	0.0346186	0.0491895	0.0616455	0.0369883	0.0415118	0.0338103	0.0549678	0.887867	0.0906448	0.0559365	0.0441003	0.165168	0.217133	0.0869343	0.050493	0.113636	0.0670264	0.359332	0.126608	0.0223195	0.0469902	0.112106	0.0359537	0.0647589	0.0611302	0.0879517	0.0663549	0.0213869	0.880504	0.0774167	0.0969693	0.0414092	0.0713386	0.14442	0.105921	0.01864	0.111825	0.882919	0.218268	0.0860738	0.0887782	0.0341838	0.91562	0.0600904	0.0579291	0.0191162	0.0699483	0.88087	0.0450514	0.082436	0.030849	0.0313494	0.527932	0.0256702	0.0449579	0.130947	0.057588	0.401511	0.053417	0.0227856	0.058519	0.243773	0.043037	0.0835786	0.0552016	0.0166012	0.122193	0.0413467	0.0579649	0.0224788	0.90805	0.0299199	0.121405	0.894582	0.0219808	0.0157357	0.0209645	0.0267945	0.188263	0.0361675	0.873042	0.905212	0.0171269	0.0548213	0.11196	0.925161	0.0580622	0.0419837	0.054827	0.066837	0.110776	0.892525	0.0581255	0.0549446	0.0581509	0.0834278	0.0827571	0.0449098	0.0728972	0.916942	0.0671958	0.0115699	0.0521656	0.037118	0.086818	0.0134844	0.939845	0.0196908	0.736944	0.0479368	0.01586	0.0649721	0.0231916	0.0586704	0.0792695	0.919493	0.0550702	0.0255473	0.0574122	0.0421655	0.0618767	0.285556	0.10606	0.013053
V20_S2	0.00813173	0.241332	0.264244	0.337225	0.721174	0.426574	0.324343	0.0639126	0.336837	0.175907	0.904585	0.886188	0.405182	0.0644891	0.018686	0.274709	0.0609651	0.364116	0.042936	0.336082	0.342398	0.00801193	0.230592	0.892505	0.336718	0.491523	0.209491	0.0661388	0.103325	0.0136897	0.111637	0.857248	0.0599136	0.192743	0.29171	0.0577131	0.480572	0.0641202	0.410457	0.26071	0.203079	0.535599	0.356036	0.111157	0.0548202	0.432493	0.336354	0.241622	0.180374	0.228882	0.101885	0.17214	0.840647	0.301561	0.245466	0.615295	0.0228374	0.27625	0.331649	0.398945	0.292803	0.737865	0.479247	0.104564	0.261277	0.0478165	0.840262	0.36837	0.299573	0.0084661	0.317379	0.646145	0.0335523	0.354524	0.29215	0.133828	0.695331	0.00586851	0.317086	0.210317	0.297682	0.540041	0.376667	0.0981401	0.364921	0.488422	0.058415	0.22632	0.132525	0.00760704	0.388581	0.195776	0.359002	0.095599	0.813334	0.0254054	0.386304	0.890877	0.0132399	0.357	0.172256	0.0100633	0.10614	0.336769	0.756873	0.892119	0.0142523	0.0349943	0.270281	0.904805	0.228063	0.421068	0.138005	0.202981	0.517412	0.893586	0.30758	0.485504	0.358064	0.263007	0.154447	0.478088	0.46058	0.794025	0.237727	0.00723049	0.429162	0.172912	0.060268	0.0055727	0.924264	0.00950852	0.508652	0.37586	0.009343	0.399827	0.0161194	0.234545	0.0908921	0.889818	0.339557	0.00837314	0.232636	0.0228174	0.236996	0.348763	0.407304	0.00578413
V20_S3	0.0141481	0.0618555	0.0435917	0.078652	0.881943	0.128394	0.0246219	0.0492351	0.0316279	0.0676066	0.937825	0.889894	0.0603359	0.0718351	0.0270992	0.0965914	0.0635536	0.0439894	0.0270338	0.122391	0.0269021	0.0195912	0.134095	0.90016	0.0298123	0.0356546	0.047443	0.031664	0.0417169	0.0340636	0.041963	0.885979	0.0607336	0.0440376	0.0302077	0.0818155	0.311509	0.072579	0.0511862	0.0938615	0.0451291	0.309322	0.128661	0.0187386	0.0379853	0.0726694	0.0320235	0.0462085	0.0400536	0.0862556	0.0475502	0.0165026	0.862246	0.0554951	0.0755507	0.0282077	0.0554296	0.124801	0.125777	0.015653	0.137615	0.888514	0.310364	0.079255	0.0782572	0.0224013	0.904991	0.0454022	0.0384481	0.0138218	0.0536906	0.870115	0.0307277	0.0672053	0.0241765	0.0286134	0.582946	0.00973888	0.0204501	0.120911	0.0404814	0.485005	0.02793	0.0141998	0.0376973	0.258634	0.0286957	0.0620734	0.0311998	0.0127895	0.101425	0.00856535	0.0483687	0.0156099	0.88627	0.020441	0.0999862	0.881283	0.0181806	0.0195541	0.0164669	0.00870311	0.0591838	0.0306724	0.859004	0.876155	0.0178615	0.0341615	0.0903196	0.917821	0.0479173	0.0319691	0.0528	0.0451985	0.430968	0.898459	0.0548161	0.0353839	0.037924	0.0727415	0.0680105	0.0343803	0.0400383	0.914341	0.0635677	0.00810599	0.0224256	0.0389866	0.0464708	0.00900843	0.925769	0.0255775	0.705959	0.0462098	0.0135276	0.0484873	0.00868841	0.0473791	0.0573475	0.925344	0.0349262	0.0131637	0.0462193	0.036777	0.0456071	0.260668	0.0924417	0.00967926
V20_S4	0.0659458	0.150989	0.100099	0.284082	0.869205	0.216782	0.0545218	0.128976	0.106117	0.133904	0.950626	0.904343	0.161916	0.131443	0.126821	0.201622	0.116895	0.0599929	0.0643109	0.227931	0.0919306	0.0887356	0.216426	0.904754	0.110404	0.149488	0.139052	0.076908	0.0998499	0.0893893	0.0883345	0.903471	0.177731	0.12878	0.135162	0.345384	0.363152	0.130901	0.111408	0.152525	0.120606	0.404894	0.182236	0.101852	0.068041	0.180309	0.108693	0.0987539	0.127016	0.132155	0.110997	0.109841	0.912094	0.129759	0.135352	0.214794	0.282883	0.189652	0.2237	0.126882	0.218275	0.872751	0.362413	0.126273	0.12628	0.0817457	0.914192	0.108737	0.101448	0.065915	0.103032	0.861092	0.110121	0.142893	0.10537	0.0752217	0.601243	0.0223674	0.130877	0.131793	0.102081	0.51713	0.0822337	0.0597685	0.152411	0.310993	0.131257	0.141102	0.0923676	0.054058	0.157346	0.0802058	0.107594	0.0626463	0.903012	0.0471565	0.159803	0.899142	0.103867	0.126568	0.102539	0.0366268	0.0608032	0.1098	0.838341	0.89469	0.0187144	0.105228	0.193637	0.931948	0.0839299	0.100008	0.099216	0.120786	0.210319	0.886814	0.0750947	0.124303	0.102028	0.120234	0.155985	0.0939984	0.190634	0.894216	0.148631	0.0154489	0.181574	0.0657616	0.0587169	0.0713763	0.921814	0.00875091	0.646285	0.0930566	0.0719829	0.13061	0.0158017	0.085514	0.12997	0.898848	0.144621	0.0816881	0.101074	0.111594	0.118991	0.298372	0.141841	0.0680653
V20_S5	0.0095661	0.177909	0.14859	0.179247	0.817333	0.256177	0.1453	0.0872962	0.701103	0.212973	0.927873	0.876309	0.164253	0.186184	0.32175	0.187057	0.252391	0.13348	0.24684	0.35259	0.162687	0.237975	0.23889	0.886807	0.698413	0.177248	0.190784	0.216554	0.14533	0.319792	0.167429	0.84954	0.248247	0.21248	0.207106	0.132883	0.333241	0.183686	0.242197	0.206128	0.128783	0.29123	0.363525	0.226655	0.18068	0.189822	0.699606	0.10828	0.186632	0.194237	0.15633	0.297489	0.892772	0.168864	0.169727	0.35905	0.509003	0.186607	0.344255	0.23937	0.247917	0.829343	0.3328	0.16171	0.177047	0.216732	0.896932	0.285802	0.160904	0.00886948	0.106147	0.810719	0.0884553	0.225322	0.192313	0.153742	0.598033	0.483068	0.180355	0.129156	0.157806	0.40363	0.106481	0.110331	0.26523	0.317126	0.140962	0.10944	0.120896	0.156814	0.279713	0.0992113	0.200521	0.11201	0.866498	0.0304183	0.274489	0.861307	0.192476	0.222029	0.300004	0.215764	0.0915182	0.702046	0.812562	0.897162	0.0151015	0.0349301	0.183709	0.911881	0.139867	0.154649	0.114357	0.129257	0.275442	0.847123	0.122759	0.165146	0.153044	0.161511	0.236339	0.19278	0.273305	0.884961	0.177306	0.00592964	0.234972	0.154673	0.201579	0.0069222	0.910996	0.209075	0.668528	0.0858524	0.0663814	0.246238	0.0150472	0.140536	0.144199	0.901195	0.234083	0.15528	0.268439	0.306944	0.143195	0.27602	0.209904	0.00719649
V20_S6	0.20692	0.355969	0.185485	0.0812639	0.761449	0.369374	0.345713	0.252803	0.403036	0.299529	0.932688	0.886873	0.383137	0.356876	0.309778	0.236372	0.292415	0.228912	0.25071	0.503618	0.231738	0.440311	0.341925	0.899181	0.403061	0.345485	0.379217	0.330869	0.126615	0.435453	0.231659	0.890971	0.345631	0.320355	0.258608	0.0723449	0.445339	0.353487	0.330396	0.247455	0.156497	0.331233	0.419756	0.275359	0.379821	0.3314	0.404936	0.189891	0.249099	0.273989	0.229191	0.326782	0.890497	0.104501	0.266902	0.532124	0.596887	0.253706	0.509466	0.41456	0.298445	0.853868	0.445542	0.25091	0.320447	0.337272	0.899174	0.328183	0.237299	0.216442	0.261798	0.72585	0.273942	0.357813	0.332564	0.381281	0.613986	0.64007	0.328439	0.274177	0.232464	0.535723	0.291328	0.379092	0.469209	0.434956	0.187184	0.250184	0.286604	0.133367	0.297334	0.0707006	0.337466	0.37856	0.841325	0.0213807	0.300474	0.880474	0.187176	0.42369	0.327432	0.0114868	0.0722467	0.403027	0.75436	0.852803	0.0177164	0.263699	0.260956	0.918819	0.248185	0.387293	0.247182	0.158277	0.383449	0.863729	0.224798	0.426277	0.413643	0.211417	0.296215	0.294661	0.431928	0.873297	0.367543	0.0121924	0.406083	0.235621	0.0587685	0.212918	0.917884	0.17931	0.563288	0.297532	0.20099	0.366563	0.0135743	0.250852	0.22393	0.888189	0.363843	0.258864	0.456518	0.326072	0.257766	0.314091	0.424022	0.217869
