sample	probe_id	CpG_meth	CpG_total	CpG_frac	nonCpG_meth	nonCpG_total	nonCpG_frac	n_reads	n_reads_with_CpG
V10_S3	cg13314145	7657	10164	0.753345	508	18941	0.0268201	470	470
V10_S3	cg13592399	1099	2683	0.409616	206	8956	0.0230013	229	228
V10_S3	cg13840308	723	848	0.852594	22	3543	0.00620943	90	90
V10_S3	cg13912117	3851	5941	0.648207	248	15771	0.0157251	380	380
V10_S3	cg13939859	581	807	0.71995	62	1402	0.0442225	42	42
V10_S3	cg13958426	5	6	0.833333	0	41	0	1	1
V10_S3	cg14038391	1035	1414	0.731966	54	3368	0.0160333	86	86
V10_S3	cg14050824	291	644	0.451863	44	2535	0.017357	56	56
V10_S3	cg14123923	774	1574	0.491741	28	2746	0.0101966	70	70
V10_S3	cg14168530	3409	4607	0.739961	144	11782	0.012222	310	310
V10_S3	cg14186641	1241	3233	0.383854	244	6912	0.0353009	186	186
V10_S3	cg14327531	363	515	0.704854	37	1454	0.025447	42	42
V10_S3	cg14394692	4501	5194	0.866577	247	13789	0.0179128	284	283
V10_S3	cg14458834	47	160	0.29375	1	343	0.00291545	8	8
V10_S3	cg14473102	4	472	0.00847458	9	817	0.0110159	21	21
V10_S3	cg14489801	31	65	0.476923	1	442	0.00226244	10	10
V10_S3	cg14712186	2800	3882	0.721278	218	7367	0.0295914	196	196
V10_S3	cg14743594	3501	4262	0.821445	62	8755	0.00708167	208	208
V10_S3	cg14861089	1050	1296	0.810185	69	2724	0.0253304	66	66
V10_S3	cg15044248	105	160	0.65625	3	508	0.00590551	11	11
V10_S3	cg15267232	917	1256	0.730096	10	2823	0.00354233	62	62
V10_S3	cg15467646	666	1016	0.655512	92	2760	0.0333333	69	69
V10_S3	cg15576900	954	1686	0.565836	135	4418	0.0305568	117	117
V10_S3	cg15778437	499	977	0.510747	79	2928	0.0269809	70	70
V10_S3	cg15836635	1008	1890	0.533333	154	6644	0.0231788	172	171
V10_S3	cg15994026	39	1061	0.0367578	9	3041	0.00295955	76	76
V10_S3	cg16150752	1150	1420	0.809859	85	2816	0.0301847	65	65
V10_S3	cg16328106	635	916	0.693231	7	3086	0.00226831	69	69
V10_S3	cg16732616	252	367	0.686649	8	685	0.0116788	20	20
V10_S3	cg16779463	1149	1890	0.607937	169	5350	0.0315888	133	133
V10_S3	cg16926316	242	299	0.809365	72	1406	0.0512091	28	28
V10_S3	cg17031478	32	568	0.056338	87	1509	0.0576541	37	37
V10_S3	cg17712694	2301	2899	0.793722	170	5904	0.028794	130	130
V10_S3	cg17774001	172	195	0.882051	6	1465	0.00409556	40	40
V10_S3	cg17812788	31	249	0.124498	0	554	0	17	17
V10_S3	cg17839237	221	313	0.70607	3	1013	0.0029615	25	25
V10_S3	cg17872757	917	1381	0.664012	101	3563	0.0283469	97	97
V10_S3	cg17969084	65	1763	0.036869	128	5096	0.0251177	151	151
V10_S3	cg18091469	19	191	0.0994764	10	704	0.0142045	23	23
V10_S3	cg18206027	1301	1542	0.843709	168	3418	0.0491516	77	77
V10_S3	cg18621142	275	347	0.792507	51	1785	0.0285714	47	47
V10_S3	cg18751958	453	505	0.89703	32	1963	0.0163016	35	35
V10_S3	cg18816098	26	392	0.0663265	98	1145	0.0855895	30	30
V10_S3	cg19497031	13113	23329	0.56209	829	41798	0.0198335	1100	1100
V10_S3	cg19807257	206	447	0.46085	2	1308	0.00152905	37	37
V10_S3	cg19882915	295	354	0.833333	59	1772	0.0332957	36	36
V10_S3	cg20072442	2529	3943	0.64139	95	11505	0.00825728	275	275
V10_S3	cg20079899	1449	2129	0.680601	43	5340	0.00805243	135	135
V10_S3	cg20183619	3746	5608	0.667974	181	17248	0.010494	427	427
V10_S3	cg20295992	1161	2450	0.473878	41	7531	0.00544416	202	202
V10_S3	cg20449590	322	450	0.715556	4	1463	0.00273411	30	30
V10_S3	cg20690085	232	284	0.816901	6	1718	0.00349243	38	37
V10_S3	cg20872937	4827	6312	0.764734	452	16259	0.0278	391	391
V10_S3	cg20980783	4596	5975	0.769205	179	13003	0.0137661	315	315
V10_S3	cg21038156	5849	7646	0.764975	222	16947	0.0130997	448	446
V10_S3	cg21039708	240	473	0.5074	12	1435	0.00836237	42	42
V10_S3	cg21185289	3906	6484	0.602406	566	16746	0.0337991	408	408
V10_S3	cg21277995	5166	6885	0.750327	249	12873	0.0193428	366	366
V10_S3	cg21790626	195	316	0.617089	44	961	0.0457856	24	24
V10_S3	cg21898844	244	300	0.813333	2	1735	0.00115274	41	41
V10_S3	cg21929943	1108	1509	0.734261	110	4163	0.0264233	101	101
V10_S3	cg22231056	26	259	0.100386	71	855	0.0830409	21	21
V10_S3	cg22399133	377	526	0.71673	4	1938	0.00206398	40	40
V10_S3	cg22868282	123	1389	0.0885529	78	3556	0.0219348	114	113
V10_S3	cg23026864	611	884	0.691176	316	2163	0.146093	43	43
V10_S3	cg23164203	214	450	0.475556	49	1682	0.029132	41	41
V10_S3	cg23871697	545	601	0.906822	114	2416	0.0471854	52	52
V10_S3	cg23912454	418	545	0.766972	37	1501	0.0246502	38	38
V10_S3	cg23960736	32	69	0.463768	47	1364	0.0344575	37	34
V10_S3	cg24221648	2284	2760	0.827536	170	6021	0.0282345	141	141
V10_S3	cg24292235	1293	1918	0.67414	23	5064	0.00454186	129	129
V10_S3	cg24416513	1	610	0.00163934	4	764	0.0052356	26	26
V10_S3	cg24507921	21	177	0.118644	1	1284	0.000778816	26	26
V10_S3	cg24632241	51	135	0.377778	0	349	0	10	10
V10_S3	cg24761507	5672	10856	0.522476	830	34687	0.0239283	943	937
V10_S3	cg24831879	219	314	0.697452	19	1688	0.0112559	34	34
V10_S3	cg25200152	185	334	0.553892	1	1310	0.000763359	33	33
V10_S3	cg25875213	569	1005	0.566169	67	2886	0.0232155	85	85
V10_S3	cg25884711	2780	3836	0.724713	177	11505	0.0153846	294	291
V10_S3	cg26121782	616	839	0.734207	103	1792	0.0574777	44	44
V10_S3	cg26682580	3479	4873	0.713934	212	12231	0.017333	287	287
V10_S3	cg27200446	1356	2794	0.485326	111	7040	0.015767	204	204
V10_S3	cg27393010	175	277	0.631769	28	769	0.0364109	19	19
V10_S3	cg27577527	229	371	0.617251	15	1549	0.00968367	36	36
V21_S11	cg00002719	222	485	0.457732	36	1707	0.0210896	53	53
V21_S11	cg00469207	1308	2246	0.582369	392	6028	0.0650299	175	175
V21_S11	cg00582524	515	845	0.609467	78	2520	0.0309524	76	76
V21_S11	cg00995986	99	339	0.292035	135	2532	0.0533175	77	69
V21_S11	cg01163404	382	547	0.698355	142	2621	0.0541778	85	85
V21_S11	cg01419831	1567	4218	0.371503	415	11791	0.0351963	384	384
V21_S11	cg01452847	37	665	0.0556391	68	1462	0.0465116	45	45
V21_S11	cg01576677	732	1968	0.371951	307	4059	0.0756344	127	127
V21_S11	cg02467990	761	1247	0.610265	156	2727	0.0572057	90	90
V21_S11	cg02511231	6981	14993	0.465617	1691	35975	0.0470049	1147	1147
V21_S11	cg02571204	648	703	0.921764	94	2559	0.0367331	87	86
V21_S11	cg02699898	1602	1826	0.877327	429	6984	0.0614261	185	185
V21_S11	cg02919936	7501	13986	0.536322	1532	37322	0.0410482	1112	1112
V21_S11	cg03011535	520	4721	0.110146	444	11856	0.0374494	375	375
V21_S11	cg03217795	292	2621	0.111408	263	6022	0.0436732	193	193
V21_S11	cg03257575	327	1363	0.239912	187	4027	0.0464366	121	121
V21_S11	cg03401096	569	3161	0.180006	457	7352	0.06216	258	258
V21_S11	cg03502002	791	1348	0.586795	197	2929	0.0672584	86	86
V21_S11	cg03563667	143	897	0.15942	214	1931	0.110823	55	55
V21_S11	cg03735888	172	278	0.618705	62	941	0.0658874	30	30
V21_S11	cg04123776	395	1131	0.349248	90	3428	0.0262544	109	109
V21_S11	cg04261408	1005	1489	0.67495	168	3449	0.0487098	115	115
V21_S11	cg04281464	651	1678	0.387962	143	5209	0.0274525	159	159
V21_S11	cg04869380	286	380	0.752632	154	3155	0.0488114	77	76
V21_S11	cg04904331	1773	3273	0.541705	323	7042	0.0458677	214	214
V21_S11	cg05057720	899	1789	0.502515	172	4080	0.0421569	125	125
V21_S11	cg05166490	3166	9181	0.344843	736	19780	0.0372093	632	632
V21_S11	cg05302386	336	3812	0.0881427	468	11080	0.0422383	350	350
V21_S11	cg05374412	166	2613	0.0635285	378	7899	0.0478542	236	236
V21_S11	cg05377226	1018	2410	0.422407	195	5919	0.0329448	195	195
V21_S11	cg05917460	532	2778	0.191505	523	9184	0.0569469	295	295
V21_S11	cg06013113	826	973	0.848921	253	4626	0.0546909	122	122
V21_S11	cg06382344	273	3678	0.0742251	346	6059	0.0571051	214	214
V21_S11	cg06463958	4429	11614	0.38135	1362	32046	0.0425014	1006	1006
V21_S11	cg06530490	201	2418	0.0831266	292	5805	0.0503015	190	190
V21_S11	cg06590173	22	146	0.150685	63	1265	0.0498024	44	38
V21_S11	cg06825142	7669	12379	0.619517	1304	30931	0.0421584	940	940
V21_S11	cg06962944	455	3878	0.117329	332	9807	0.0338534	315	315
V21_S11	cg07790615	2563	6901	0.371395	774	13774	0.0561928	435	435
V21_S11	cg07915921	340	868	0.391705	69	2080	0.0331731	63	63
V21_S11	cg08382226	286	1199	0.238532	156	3722	0.041913	124	124
V21_S11	cg08548396	1491	2230	0.66861	245	6212	0.0394398	192	192
V21_S11	cg08566455	286	632	0.452532	71	1208	0.0587748	33	33
V21_S11	cg08862890	665	1570	0.423567	132	4606	0.0286583	140	140
V21_S11	cg08934785	26	442	0.0588235	134	2150	0.0623256	66	66
V21_S11	cg09250933	588	1099	0.535032	125	4292	0.029124	117	117
V21_S11	cg09493505	4196	7395	0.56741	610	15604	0.0390925	486	486
V21_S11	cg10143067	660	1915	0.344648	252	5839	0.0431581	195	195
V21_S11	cg10249375	231	1509	0.153082	265	4970	0.0533199	153	153
V21_S11	cg10512745	5304	18672	0.284062	2616	53131	0.0492368	1823	1819
V21_S11	cg11014373	469	2273	0.206335	321	6256	0.0513107	217	217
V21_S11	cg11017065	2259	4003	0.564327	475	10131	0.0468858	322	322
V21_S11	cg11314310	1112	1283	0.866719	149	4290	0.0347319	144	144
V21_S11	cg11561737	161	2740	0.0587591	263	6359	0.0413587	225	225
V21_S11	cg11601252	6601	20273	0.325605	2787	54548	0.0510926	1759	1758
V21_S11	cg11660826	477	1225	0.389388	105	2898	0.0362319	103	103
V21_S11	cg11942956	578	1147	0.503923	166	2135	0.0777518	67	67
V21_S11	cg11957331	1071	3692	0.290087	368	7538	0.0488193	278	278
V21_S11	cg12042659	1576	2778	0.567315	340	9657	0.0352076	292	292
V21_S11	cg12074025	1103	1665	0.662462	186	4769	0.0390019	142	142
V21_S11	cg12483476	4502	8013	0.561837	792	14534	0.0544929	439	439
V21_S11	cg12528056	1010	1407	0.717839	79	3414	0.02314	97	97
V21_S11	cg12928379	2164	3505	0.617404	341	9174	0.0371703	270	270
V21_S11	cg12974388	1800	16212	0.111029	2405	48217	0.0498787	1569	1563
V21_S11	cg13314145	588	7869	0.0747236	792	14663	0.0540135	512	512
V21_S11	cg13592399	756	4698	0.16092	611	15213	0.040163	469	469
V21_S11	cg13840308	812	941	0.862912	109	3804	0.028654	114	114
V21_S11	cg13912117	15615	23497	0.664553	3059	62320	0.0490854	1877	1876
V21_S11	cg13939859	475	1161	0.40913	101	1967	0.0513472	71	71
V21_S11	cg13958426	339	628	0.539809	117	2203	0.0531094	78	78
V21_S11	cg14038391	623	1664	0.374399	264	4173	0.0632638	128	128
V21_S11	cg14050824	650	1011	0.642928	153	3464	0.0441686	96	96
V21_S11	cg14123923	43	267	0.161049	11	407	0.027027	17	17
V21_S11	cg14168530	2850	6649	0.428636	776	16196	0.0479131	530	530
V21_S11	cg14186641	645	7078	0.0911274	549	14064	0.0390358	496	495
V21_S11	cg14327531	89	265	0.335849	83	835	0.0994012	31	31
V21_S11	cg14394692	4542	6685	0.679432	780	16040	0.0486284	474	473
V21_S11	cg14458834	9	345	0.026087	19	815	0.0233129	20	20
V21_S11	cg14473102	26	1043	0.0249281	36	1611	0.0223464	55	55
V21_S11	cg14489801	49	99	0.494949	8	586	0.0136519	17	17
V21_S11	cg14712186	2049	5234	0.391479	390	8997	0.0433478	311	311
V21_S11	cg14743594	4912	7253	0.677237	444	14973	0.0296534	459	459
V21_S11	cg14861089	828	1480	0.559459	173	2928	0.0590847	93	93
V21_S11	cg15044248	2155	3682	0.58528	533	10279	0.0518533	291	291
V21_S11	cg15267232	401	952	0.421218	116	2078	0.0558229	63	63
V21_S11	cg15467646	1493	2545	0.58664	235	6527	0.0360043	201	201
V21_S11	cg15576900	342	2865	0.119372	282	7112	0.0396513	237	237
V21_S11	cg15778437	648	2180	0.297248	252	6357	0.0396413	196	196
V21_S11	cg15836635	3021	6217	0.485926	640	19645	0.0325783	603	603
V21_S11	cg15994026	332	2066	0.160697	247	5752	0.0429416	179	179
V21_S11	cg16150752	1804	3155	0.571791	281	5973	0.047045	183	183
V21_S11	cg16328106	747	1164	0.641753	105	3469	0.0302681	107	107
V21_S11	cg16732616	873	1648	0.529733	162	2728	0.0593842	84	84
V21_S11	cg16779463	849	1563	0.543186	242	4501	0.0537658	122	122
V21_S11	cg16926316	464	652	0.711656	116	2629	0.0441232	74	74
V21_S11	cg17031478	47	836	0.0562201	143	2276	0.0628295	67	67
V21_S11	cg17712694	1831	3124	0.586108	429	5953	0.0720645	181	181
V21_S11	cg17774001	411	484	0.849174	93	3432	0.0270979	109	109
V21_S11	cg17812788	36	694	0.0518732	73	1555	0.0469453	49	49
V21_S11	cg17839237	44	489	0.0899796	83	1487	0.0558171	49	49
V21_S11	cg17872757	2052	3546	0.57868	371	8849	0.0419256	283	283
V21_S11	cg17969084	122	2383	0.051196	458	7778	0.058884	262	262
V21_S11	cg18091469	16	168	0.0952381	19	637	0.0298273	21	21
V21_S11	cg18206027	2237	3870	0.578036	517	8138	0.0635291	257	257
V21_S11	cg18621142	347	501	0.692615	164	2170	0.075576	73	73
V21_S11	cg18751958	1149	1318	0.871775	264	4468	0.0590868	116	116
V21_S11	cg18816098	18	623	0.0288925	97	1850	0.0524324	61	61
V21_S11	cg19497031	1250	11539	0.108328	809	20661	0.0391559	750	750
V21_S11	cg19807257	99	370	0.267568	43	1044	0.0411877	31	31
V21_S11	cg19882915	839	1184	0.708615	133	5357	0.0248273	146	146
V21_S11	cg20072442	334	1603	0.208359	109	4603	0.0236802	145	145
V21_S11	cg20079899	3521	5652	0.622965	651	13916	0.0467807	431	431
V21_S11	cg20183619	2983	8314	0.358792	1163	24098	0.0482613	749	748
V21_S11	cg20295992	1876	6556	0.28615	953	19984	0.0476882	662	661
V21_S11	cg20449590	613	1224	0.500817	291	3103	0.0937802	106	106
V21_S11	cg20690085	291	319	0.912226	91	1675	0.0543284	50	50
V21_S11	cg20872937	6291	10614	0.592708	1347	27666	0.0486879	817	817
V21_S11	cg20980783	5333	11722	0.454956	1036	26561	0.0390046	824	824
V21_S11	cg21038156	6535	10425	0.626859	965	21813	0.0442397	706	706
V21_S11	cg21039708	163	522	0.312261	148	1538	0.0962289	49	49
V21_S11	cg21185289	3636	10464	0.347477	1640	27201	0.0602919	861	861
V21_S11	cg21277995	6628	12112	0.547226	990	22920	0.0431937	778	778
V21_S11	cg21790626	588	946	0.621564	50	2527	0.0197863	77	77
V21_S11	cg21898844	524	636	0.823899	67	3415	0.0196193	103	103
V21_S11	cg21929943	1336	2464	0.542208	201	6852	0.0293345	202	202
V21_S11	cg22231056	11	268	0.0410448	26	834	0.0311751	27	27
V21_S11	cg22399133	300	464	0.646552	187	1470	0.127211	40	40
V21_S11	cg22868282	187	2649	0.0705927	397	6935	0.0572459	245	245
V21_S11	cg23026864	263	880	0.298864	96	1879	0.051091	57	57
V21_S11	cg23164203	327	1096	0.298358	272	4217	0.0645008	126	126
V21_S11	cg23871697	1373	1522	0.902102	385	6034	0.0638051	142	142
V21_S11	cg23912454	531	1247	0.425822	185	3515	0.0526316	102	102
V21_S11	cg23960736	45	88	0.511364	101	2209	0.045722	73	65
V21_S11	cg24221648	1823	2760	0.660507	402	5632	0.0713778	159	159
V21_S11	cg24292235	1208	2266	0.533098	367	5822	0.0630368	180	180
V21_S11	cg24416513	75	1216	0.0616776	41	1324	0.0309668	50	50
V21_S11	cg24507921	23	309	0.0744337	113	2140	0.0528037	60	60
V21_S11	cg24632241	611	3260	0.187423	283	9229	0.0306642	288	288
V21_S11	cg24761507	6420	22071	0.290879	3203	68454	0.0467905	2243	2234
V21_S11	cg24831879	419	608	0.689145	49	3110	0.0157556	75	75
V21_S11	cg25200152	237	569	0.41652	86	1970	0.0436548	62	62
V21_S11	cg25875213	551	2013	0.273721	264	5928	0.0445344	207	207
V21_S11	cg25884711	3681	6559	0.561214	621	19447	0.0319329	582	582
V21_S11	cg26121782	218	1063	0.20508	158	2052	0.0769981	67	67
V21_S11	cg26682580	4022	7667	0.524586	650	18344	0.0354339	550	550
V21_S11	cg27200446	2569	5699	0.450781	1037	15624	0.0663722	502	502
V21_S11	cg27393010	819	1409	0.581263	248	3775	0.0656954	116	116
V21_S11	cg27577527	49	245	0.2	27	799	0.0337922	25	25
V21_S12	cg00002719	36	380	0.0947368	145	1350	0.107407	40	40
V21_S12	cg00469207	61	832	0.0733173	111	2595	0.0427746	70	70
V21_S12	cg00582524	67	665	0.100752	79	2235	0.0353468	61	61
V21_S12	cg00995986	19	172	0.110465	46	1222	0.0376432	39	36
V21_S12	cg01163404	645	711	0.907173	104	3657	0.0284386	99	99
V21_S12	cg01419831	418	2337	0.178862	306	7497	0.0408163	224	224
V21_S12	cg01452847	24	574	0.0418118	80	1455	0.0549828	38	38
V21_S12	cg01576677	49	1075	0.0455814	96	2540	0.0377953	75	75
V21_S12	cg02467990	12	377	0.0318302	12	826	0.0145278	24	24
V21_S12	cg02511231	988	8975	0.110084	1141	22704	0.0502555	693	693
V21_S12	cg02571204	461	485	0.950515	58	1924	0.0301455	61	60
V21_S12	cg02699898	933	1049	0.889418	186	4385	0.0424173	105	105
V21_S12	cg02919936	624	5623	0.110973	699	15937	0.0438602	444	444
V21_S12	cg03011535	465	3383	0.137452	637	9470	0.067265	265	265
V21_S12	cg03217795	27	828	0.0326087	65	1882	0.0345377	58	58
V21_S12	cg03257575	92	597	0.154104	50	1872	0.0267094	53	53
V21_S12	cg03401096	121	1756	0.0689066	104	4141	0.0251147	142	142
V21_S12	cg03502002	29	248	0.116935	34	514	0.0661479	14	14
V21_S12	cg03563667	13	468	0.0277778	27	1141	0.0236635	25	25
V21_S12	cg03735888	149	823	0.181045	114	2858	0.039888	80	80
V21_S12	cg04123776	55	679	0.0810015	48	2235	0.0214765	66	66
V21_S12	cg04261408	26	357	0.0728291	52	859	0.0605355	27	27
V21_S12	cg04281464	319	1160	0.275	99	3707	0.0267062	105	105
V21_S12	cg04869380	342	373	0.91689	88	3241	0.0271521	70	70
V21_S12	cg04904331	137	1819	0.0753161	124	4175	0.0297006	128	128
V21_S12	cg05057720	48	671	0.071535	31	1529	0.0202747	43	43
V21_S12	cg05166490	364	3373	0.107916	566	7827	0.0723138	236	236
V21_S12	cg05302386	151	2181	0.0692343	292	7232	0.0403761	203	203
V21_S12	cg05374412	194	1877	0.103356	455	5896	0.077171	153	153
V21_S12	cg05377226	41	914	0.0448578	93	2237	0.0415735	68	68
V21_S12	cg05917460	110	2358	0.0466497	278	8379	0.0331782	233	233
V21_S12	cg06013113	636	716	0.888268	253	3198	0.0791119	78	78
V21_S12	cg06382344	304	2288	0.132867	241	3934	0.0612608	123	123
V21_S12	cg06463958	512	5810	0.0881239	893	17970	0.0496939	518	518
V21_S12	cg06530490	116	1591	0.0729101	243	3938	0.0617064	119	119
V21_S12	cg06590173	2	79	0.0253165	16	961	0.0166493	27	20
V21_S12	cg06825142	1740	6532	0.266381	671	18322	0.0366226	545	544
V21_S12	cg06962944	77	733	0.105048	52	2230	0.0233184	59	59
V21_S12	cg07790615	329	3752	0.0876866	447	8082	0.0553081	251	251
V21_S12	cg07915921	60	406	0.147783	15	997	0.0150451	28	28
V21_S12	cg08382226	201	2272	0.0884683	278	7787	0.0357005	238	237
V21_S12	cg08548396	722	1782	0.405163	257	5011	0.0512872	145	145
V21_S12	cg08566455	38	351	0.108262	35	672	0.0520833	15	15
V21_S12	cg08862890	48	566	0.0848057	117	1842	0.0635179	51	51
V21_S12	cg08934785	13	481	0.027027	32	2281	0.0140289	67	67
V21_S12	cg09250933	49	515	0.0951456	36	2241	0.0160643	58	58
V21_S12	cg09493505	210	3018	0.0695825	463	7316	0.0632859	220	220
V21_S12	cg10143067	103	1425	0.0722807	155	4490	0.0345212	142	142
V21_S12	cg10249375	123	1294	0.0950541	229	4347	0.05268	125	125
V21_S12	cg10512745	1411	12356	0.114196	1616	38673	0.0417863	1261	1260
V21_S12	cg11014373	79	1097	0.0720146	157	3516	0.044653	107	107
V21_S12	cg11017065	79	1114	0.0709156	95	3068	0.0309648	93	93
V21_S12	cg11314310	984	1057	0.930937	87	3585	0.0242678	110	110
V21_S12	cg11561737	195	2515	0.0775348	266	5983	0.0444593	198	198
V21_S12	cg11601252	1470	13384	0.109833	1858	38085	0.0487856	1159	1159
V21_S12	cg11660826	33	394	0.0837563	33	1424	0.0231742	42	42
V21_S12	cg11942956	30	301	0.0996678	17	704	0.0241477	19	19
V21_S12	cg11957331	415	2571	0.161416	292	6634	0.0440157	190	190
V21_S12	cg12042659	84	402	0.208955	71	1393	0.0509691	40	40
V21_S12	cg12074025	17	644	0.0263975	51	2173	0.0234699	67	67
V21_S12	cg12483476	539	2576	0.209239	289	5696	0.0507374	165	165
V21_S12	cg12528056	1183	1315	0.89962	68	3152	0.0215736	88	88
V21_S12	cg12928379	256	1051	0.243578	77	2979	0.0258476	88	87
V21_S12	cg12974388	1393	12419	0.112167	1827	38869	0.047004	1171	1166
V21_S12	cg13314145	571	5081	0.112379	442	10825	0.0408314	307	307
V21_S12	cg13592399	145	2891	0.0501557	407	10208	0.0398707	283	283
V21_S12	cg13840308	1036	1124	0.921708	143	4445	0.032171	124	124
V21_S12	cg13912117	504	5666	0.0889516	740	15693	0.0471548	441	441
V21_S12	cg13939859	65	600	0.108333	33	1192	0.0276846	38	38
V21_S12	cg13958426	0	56	0	4	222	0.018018	7	7
V21_S12	cg14038391	97	1078	0.0899814	103	3222	0.0319677	86	86
V21_S12	cg14050824	881	994	0.886318	172	3617	0.0475532	91	91
V21_S12	cg14123923	30	373	0.080429	28	805	0.0347826	27	27
V21_S12	cg14168530	414	3606	0.114809	400	9302	0.0430015	297	297
V21_S12	cg14186641	294	4405	0.0667423	471	9244	0.050952	298	298
V21_S12	cg14327531	39	219	0.178082	106	780	0.135897	28	28
V21_S12	cg14394692	2653	4390	0.604328	601	12581	0.0477704	341	341
V21_S12	cg14458834	4	234	0.017094	13	602	0.0215947	15	15
V21_S12	cg14473102	37	483	0.0766046	70	788	0.0888325	22	22
